epoch,train_loss,train_acc,test_loss,test_acc,lr
1,2.139147700556099,22.422,2.15986038612414,21.87,0.01
1,2.2324432552318134,17.094,2.0299802928031245,23.36,0.01
2,1.891360781381807,29.688,1.863829479941839,29.83,0.01
2,1.9971528510608332,24.674,1.9442593055435373,27.17,0.01
3,1.7744477542160113,34.628,1.7058759761762015,38.16,0.01
3,1.9616733112603502,26.292,1.9226382140871845,26.72,0.01
4,1.6819406418544252,38.818,1.6924573530124714,38.11,0.01
4,1.938170705609919,27.082,1.911120446422432,27.54,0.01
5,1.5955669261000651,42.378,1.5750306920160222,43.47,0.01
5,1.9252081585052374,27.694,1.9259738243078883,26.71,0.01
6,1.5328626230244746,44.82,1.4458760988863208,48.29,0.01
6,1.9055854835168784,28.218,1.9117880999287473,28.43,0.01
7,1.4923148609488213,46.278,1.4952068872089628,46.88,0.01
7,1.8735637872115425,29.33,1.9223168937465813,29.51,0.01
8,1.4540282384209011,47.956,1.4107980894137033,49.55,0.01
8,1.849331814309825,30.56,1.8074228642862054,32.11,0.01
9,1.4237962823999508,49.274,1.3769579597666293,50.93,0.01
9,1.8275296358806092,31.352,1.7600725285614593,33.69,0.01
10,1.3953372331531457,50.382,1.3664525038079371,50.76,0.01
10,1.8121940040832285,31.878,1.7403786650186852,35.66,0.01
11,1.3724535142674166,51.08,1.3320221576509597,52.9,0.01
11,1.7983610059904016,32.396,1.7928557033780255,33.22,0.01
12,1.3532482589907049,51.898,1.289963289906707,54.15,0.01
12,1.788800127670893,33.092,1.7564064400105537,35.45,0.01
13,1.336861941515637,52.332,1.3143534879141217,53.44,0.01
13,1.7806470973412398,33.436,1.7493357673476013,35.77,0.01
14,1.3237567130866867,53.172,1.3988673113569428,49.55,0.01
14,1.7736834062029943,33.652,1.7230322753326803,36.04,0.01
15,1.306686654115272,53.544,1.270163331605211,55.19,0.01
15,1.772216242292653,33.916,1.6999471745913541,37.43,0.01
16,1.2940418012916584,54.212,1.2523656676087198,55.23,0.01
16,1.7635725254902754,34.032,1.7114928161041647,36.07,0.01
17,1.2813545907549846,54.376,1.27437099323997,55.08,0.01
17,1.757687357075684,34.6,1.7293686912029604,35.04,0.01
18,1.2691213740107348,55.026,1.2318495323386374,56.36,0.01
18,1.7568264876485176,34.712,1.7781246251697782,34.9,0.01
19,1.257244558742894,55.522,1.2257941101170793,56.23,0.01
19,1.7513499348364827,34.568,1.8610752851148196,33.74,0.01
20,1.244027909872782,55.968,1.279530111747452,55.08,0.001
20,1.7477625840155364,35.114,1.709042091912861,36.9,0.001
21,1.1629450578823723,58.93,1.1444643373730816,59.17,0.001
21,1.7186538343844207,36.054,1.650934121276759,39.56,0.001
22,1.1436390919453652,59.684,1.145392517500286,59.2,0.001
22,1.7085803951448797,36.362,1.6480349181573601,39.79,0.001
23,1.1304721167630247,60.092,1.1367389846451674,59.37,0.001
23,1.708407029776317,36.73,1.6434332630302333,39.64,0.001
24,1.1188806963088873,60.6,1.135771394530429,59.13,0.001
24,1.7037720643650844,36.934,1.6461873356300065,39.54,0.001
25,1.1117869739032462,60.8,1.131905293162865,59.58,0.001
25,1.7066326485875318,36.93,1.6454453739938857,39.58,0.001
26,1.1084167660044892,60.866,1.1336745521690272,59.73,0.001
26,1.7041561002926449,36.766,1.6447162432006643,39.51,0.001
27,1.103951837400646,61.096,1.1329758152177063,59.75,0.001
27,1.7040173260452192,37.002,1.6484678546084632,39.32,0.001
28,1.0959254535262848,61.11,1.1305539834348461,59.8,0.001
28,1.6972775599535774,37.034,1.639212057560305,39.43,0.001
29,1.0877454882997382,61.506,1.140195046044603,59.67,0.001
29,1.6996222420421707,37.06,1.6417855537390407,39.7,0.001
30,1.0819759088404037,61.648,1.129437831760962,59.75,0.0001
30,1.6968031578966418,37.042,1.641625165939331,39.56,0.0001
31,1.0714254906720213,62.29,1.1233525230914732,60.3,0.0001
31,1.6964867057092965,36.964,1.6352027398121507,39.99,0.0001
32,1.0695992043561033,62.45,1.1219296862807455,60.23,0.0001
32,1.6926048423932947,37.112,1.6359745882734467,40.18,0.0001
33,1.0681590201604703,62.336,1.1188190662408177,60.23,0.0001
33,1.6930565760873468,37.578,1.6358692359320726,40.07,0.0001
34,1.0632316479292672,62.5,1.1188364096834689,60.22,0.0001
34,1.6911923095698247,37.308,1.6344303964059563,40.1,0.0001
35,1.0621745104679976,62.296,1.119091406653199,60.33,0.0001
