Depth,Method,Pruning Ratio,Rho,Accuracy,FLOPs Reduction,Params Reduction,TrainingLog
20,L1,0.3,,90.36,30.0,30.0,"    Epoch  TestAccuracy
0       0         83.63
1       1         84.25
2       2         85.20
3       3         85.55
4       4         85.55
..    ...           ...
95     95         90.18
96     96         90.20
97     97         90.25
98     98         90.26
99     99         90.03

[100 rows x 2 columns]"
20,GRA,0.3,0.5,90.84,30.0,30.0,"    Epoch  TestAccuracy
0       0         85.34
1       1         85.84
2       2         86.54
3       3         86.65
4       4         87.16
..    ...           ...
95     95         90.76
96     96         90.64
97     97         90.67
98     98         90.68
99     99         90.73

[100 rows x 2 columns]"
20,L1,0.4,,89.61,40.0,40.0,"    Epoch  TestAccuracy
0       0         82.08
1       1         83.32
2       2         84.14
3       3         83.89
4       4         84.43
..    ...           ...
95     95         89.58
96     96         89.44
97     97         89.43
98     98         89.45
99     99         89.39

[100 rows x 2 columns]"
20,GRA,0.4,0.5,90.33,40.0,40.0,"    Epoch  TestAccuracy
0       0         84.45
1       1         85.34
2       2         85.31
3       3         85.59
4       4         86.11
..    ...           ...
95     95         90.09
96     96         90.01
97     97         90.10
98     98         90.11
99     99         90.25

[100 rows x 2 columns]"
20,L1,0.5,,88.66,50.0,50.0,"    Epoch  TestAccuracy
0       0         78.77
1       1         81.09
2       2         82.14
3       3         82.89
4       4         84.02
..    ...           ...
95     95         88.38
96     96         88.46
97     97         88.57
98     98         88.38
99     99         88.50

[100 rows x 2 columns]"
20,GRA,0.5,0.5,89.48,50.0,50.0,"    Epoch  TestAccuracy
0       0         82.59
1       1         84.25
2       2         84.05
3       3         84.37
4       4         84.25
..    ...           ...
95     95         89.40
96     96         89.32
97     97         89.35
98     98         89.26
99     99         89.34

[100 rows x 2 columns]"
20,L1,0.6,,88.23,60.0,60.0,"    Epoch  TestAccuracy
0       0         76.49
1       1         79.37
2       2         80.51
3       3         82.26
4       4         80.00
..    ...           ...
95     95         88.13
96     96         87.99
97     97         88.00
98     98         88.18
99     99         88.09

[100 rows x 2 columns]"
20,GRA,0.6,0.5,89.81,60.0,60.0,"    Epoch  TestAccuracy
0       0         80.10
1       1         81.95
2       2         82.07
3       3         83.21
4       4         84.62
..    ...           ...
95     95         89.72
96     96         89.55
97     97         89.79
98     98         89.81
99     99         89.72

[100 rows x 2 columns]"
20,L1,0.7,,87.43,70.0,70.0,"    Epoch  TestAccuracy
0       0         66.30
1       1         73.49
2       2         76.31
3       3         77.13
4       4         79.10
..    ...           ...
95     95         87.35
96     96         87.33
97     97         87.10
98     98         87.31
99     99         87.30

[100 rows x 2 columns]"
20,GRA,0.7,0.5,88.75,70.0,70.0,"    Epoch  TestAccuracy
0       0         78.73
1       1         79.83
2       2         82.10
3       3         81.56
4       4         82.93
..    ...           ...
95     95         88.51
96     96         88.60
97     97         88.60
98     98         88.71
99     99         88.64

[100 rows x 2 columns]"
