Layer,Channel_Index,L1_Score,GRA_Score
conv1,0,0.13645779,0.9634848021292435
conv1,1,0.768484,0.24791724591119585
conv1,2,0.33899915,0.0
conv1,3,1.0,0.3293811013852098
conv1,4,0.038664367,0.9999998573641516
conv1,5,0.85536265,0.0797966605190511
conv1,6,0.0,0.5620011321894975
conv1,7,0.81883186,0.3755635068663611
conv1,8,0.28351116,0.2654563748866593
conv1,9,0.5730084,0.2532070404087884
conv1,10,0.1403404,0.7123615428701818
conv1,11,0.19707279,0.641348899829293
conv1,12,0.9036121,0.945473825525017
conv1,13,0.56003875,0.32404879809223325
conv1,14,0.36396217,0.9809746209020614
conv1,15,0.38188222,0.7721102053102021
layer1.0.conv1,0,0.81302035,0.48687892461849946
layer1.0.conv1,1,0.6673862,0.8332041737720031
layer1.0.conv1,2,0.27688003,0.7011254589386638
layer1.0.conv1,3,0.3345486,0.9999999319585371
layer1.0.conv1,4,0.20115301,0.4893106547207828
layer1.0.conv1,5,0.72641003,0.8883719212842601
layer1.0.conv1,6,0.41574696,0.0
layer1.0.conv1,7,0.42304012,0.30430693211261584
layer1.0.conv1,8,0.002920471,0.6292758644789053
layer1.0.conv1,9,0.36639437,0.7615508697341099
layer1.0.conv1,10,0.6176943,0.6657473548672032
layer1.0.conv1,11,0.39301783,0.30821043482016697
layer1.0.conv1,12,0.0,0.4687735665537508
layer1.0.conv1,13,0.53923565,0.7395257866128956
layer1.0.conv1,14,1.0,0.2801490156678679
layer1.0.conv1,15,0.6840451,0.8455578980291163
layer1.0.conv2,0,0.81765205,0.5620646388639057
layer1.0.conv2,1,0.75129145,0.9255009730339046
layer1.0.conv2,2,0.6087092,0.9919857823561211
layer1.0.conv2,3,0.17611691,0.748395525523726
layer1.0.conv2,4,0.4356736,0.9712976600824145
layer1.0.conv2,5,0.0,0.5424987020135259
layer1.0.conv2,6,0.4948754,0.6395702652318832
layer1.0.conv2,7,0.23419452,0.0
layer1.0.conv2,8,1.0,0.20483818603093035
layer1.0.conv2,9,0.3300387,0.7678836606855872
layer1.0.conv2,10,0.57283944,0.8821588995628543
layer1.0.conv2,11,0.6072826,0.8640020047430874
layer1.0.conv2,12,0.3042878,0.9202508438239497
layer1.0.conv2,13,0.68409896,0.9999999501795522
layer1.0.conv2,14,0.67033863,0.7963186930740734
layer1.0.conv2,15,0.78064764,0.7834252903496939
layer1.1.conv1,0,0.47917017,0.42314579927474444
layer1.1.conv1,1,0.43131137,0.6952928374385526
layer1.1.conv1,2,0.15195884,0.5074353148874291
layer1.1.conv1,3,0.1486463,0.6032365877448786
layer1.1.conv1,4,0.7656587,0.6634662987107456
layer1.1.conv1,5,0.73248774,0.9999999519456501
layer1.1.conv1,6,0.02951546,0.6220175566816862
layer1.1.conv1,7,0.7870903,0.37990517465198875
layer1.1.conv1,8,0.6802507,0.35168502878499214
layer1.1.conv1,9,1.0,0.39117175103035273
layer1.1.conv1,10,0.3707096,0.004584252063956157
layer1.1.conv1,11,0.90087825,0.2857081751972395
layer1.1.conv1,12,0.83201444,0.0
layer1.1.conv1,13,0.8667615,0.5221009115246477
layer1.1.conv1,14,0.2215598,0.07975195102679315
layer1.1.conv1,15,0.0,0.4751671068886054
layer1.1.conv2,0,0.53402734,0.1413683367605736
layer1.1.conv2,1,0.30298722,0.6493442078796413
layer1.1.conv2,2,0.97852135,0.44789378420049897
layer1.1.conv2,3,0.6674061,0.4789834577839722
layer1.1.conv2,4,0.6686412,0.09204733981014769
layer1.1.conv2,5,0.0,0.0
layer1.1.conv2,6,0.064543426,0.9749311269927894
layer1.1.conv2,7,0.7508703,0.6612496084152331
layer1.1.conv2,8,0.54448426,0.6428274748405706
layer1.1.conv2,9,0.70976216,0.4168993780511781
layer1.1.conv2,10,1.0,0.24846049700286044
layer1.1.conv2,11,0.34247455,0.9999999538057133
layer1.1.conv2,12,0.7607979,0.5118821112587204
layer1.1.conv2,13,0.22076611,0.7498026158357048
layer1.1.conv2,14,0.5800337,0.287490959028399
layer1.1.conv2,15,0.26663756,0.4406862245941209
layer1.2.conv1,0,0.14967892,0.999999936443973
layer1.2.conv1,1,0.41564074,0.36929981984738397
layer1.2.conv1,2,0.7979917,0.0
layer1.2.conv1,3,0.6441997,0.5229259840574335
layer1.2.conv1,4,0.2479875,0.3920970357128372
layer1.2.conv1,5,0.23404153,0.4575725004591618
layer1.2.conv1,6,0.33458552,0.7980976493630589
layer1.2.conv1,7,0.51802534,0.840437230087535
layer1.2.conv1,8,0.7654145,0.7509818626924616
layer1.2.conv1,9,0.82943416,0.8992662375587407
layer1.2.conv1,10,0.14403327,0.620626443649313
layer1.2.conv1,11,1.0,0.5700413919045897
layer1.2.conv1,12,0.27000034,0.03790658881604397
layer1.2.conv1,13,0.0,0.27725254246790687
layer1.2.conv1,14,0.6615542,0.6404123919810004
layer1.2.conv1,15,0.6783487,0.5679177076934574
layer1.2.conv2,0,0.97679484,0.0
layer1.2.conv2,1,0.72433114,0.6331540536772933
layer1.2.conv2,2,0.23867236,0.7420378267008446
layer1.2.conv2,3,0.6424701,0.503362618003976
layer1.2.conv2,4,0.0,0.722582295339389
layer1.2.conv2,5,0.8125997,0.7067093606895223
layer1.2.conv2,6,0.6716697,0.7703100196491605
layer1.2.conv2,7,0.68695533,0.9999999294447719
layer1.2.conv2,8,0.5012744,0.14607103437061988
layer1.2.conv2,9,0.40574217,0.6143705483218382
layer1.2.conv2,10,0.3230377,0.4706898742879565
layer1.2.conv2,11,0.44841546,0.6212750057476943
layer1.2.conv2,12,0.6652297,0.2659591281069483
layer1.2.conv2,13,1.0,0.28304658785401754
layer1.2.conv2,14,0.70608246,0.38905259244261126
