Running Multi-Seed Experiment: gra on resnet56/cifar10 ratio=0.5 seeds=[0]
--- Seed 0 ---
Calculating scores using gra (rho=0.5)...
Pruning threshold: 0.6172
Building new resnet56...
Epoch 1/40 | Train Loss: 0.4686 Acc: 84.36% | Test Loss: 0.4870 Acc: 83.98% | Best: 83.98%
Epoch 2/40 | Train Loss: 0.3034 Acc: 89.76% | Test Loss: 0.4833 Acc: 84.47% | Best: 84.47%
Epoch 3/40 | Train Loss: 0.2664 Acc: 90.80% | Test Loss: 0.4238 Acc: 85.96% | Best: 85.96%
Epoch 4/40 | Train Loss: 0.2480 Acc: 91.55% | Test Loss: 0.3746 Acc: 87.49% | Best: 87.49%
Epoch 5/40 | Train Loss: 0.2294 Acc: 92.12% | Test Loss: 0.4199 Acc: 86.71% | Best: 87.49%
Epoch 6/40 | Train Loss: 0.2222 Acc: 92.40% | Test Loss: 0.4413 Acc: 86.01% | Best: 87.49%
Epoch 7/40 | Train Loss: 0.2088 Acc: 92.73% | Test Loss: 0.3747 Acc: 87.76% | Best: 87.76%
Epoch 8/40 | Train Loss: 0.2076 Acc: 92.80% | Test Loss: 0.3418 Acc: 88.95% | Best: 88.95%
Epoch 9/40 | Train Loss: 0.1979 Acc: 93.30% | Test Loss: 0.3539 Acc: 88.73% | Best: 88.95%
Epoch 10/40 | Train Loss: 0.1923 Acc: 93.42% | Test Loss: 0.4337 Acc: 86.54% | Best: 88.95%
Epoch 11/40 | Train Loss: 0.1888 Acc: 93.54% | Test Loss: 0.3545 Acc: 88.98% | Best: 88.98%
Epoch 12/40 | Train Loss: 0.1793 Acc: 93.78% | Test Loss: 0.3357 Acc: 89.09% | Best: 89.09%
Epoch 13/40 | Train Loss: 0.1764 Acc: 93.87% | Test Loss: 0.3928 Acc: 87.90% | Best: 89.09%
Epoch 14/40 | Train Loss: 0.1719 Acc: 94.15% | Test Loss: 0.3694 Acc: 88.49% | Best: 89.09%
Epoch 15/40 | Train Loss: 0.1739 Acc: 94.19% | Test Loss: 0.3292 Acc: 89.66% | Best: 89.66%
Epoch 16/40 | Train Loss: 0.1696 Acc: 94.10% | Test Loss: 0.3506 Acc: 88.69% | Best: 89.66%
Epoch 17/40 | Train Loss: 0.1671 Acc: 94.26% | Test Loss: 0.3284 Acc: 89.61% | Best: 89.66%
Epoch 18/40 | Train Loss: 0.1610 Acc: 94.49% | Test Loss: 0.3663 Acc: 88.79% | Best: 89.66%
Epoch 19/40 | Train Loss: 0.1580 Acc: 94.61% | Test Loss: 0.3646 Acc: 88.79% | Best: 89.66%
Epoch 20/40 | Train Loss: 0.1621 Acc: 94.40% | Test Loss: 0.3759 Acc: 88.46% | Best: 89.66%
Epoch 21/40 | Train Loss: 0.1026 Acc: 96.62% | Test Loss: 0.2414 Acc: 92.12% | Best: 92.12%
Epoch 22/40 | Train Loss: 0.0787 Acc: 97.52% | Test Loss: 0.2369 Acc: 92.26% | Best: 92.26%
Epoch 23/40 | Train Loss: 0.0688 Acc: 97.84% | Test Loss: 0.2339 Acc: 92.59% | Best: 92.59%
Epoch 24/40 | Train Loss: 0.0642 Acc: 97.95% | Test Loss: 0.2352 Acc: 92.59% | Best: 92.59%
Epoch 25/40 | Train Loss: 0.0597 Acc: 98.17% | Test Loss: 0.2347 Acc: 92.76% | Best: 92.76%
Epoch 26/40 | Train Loss: 0.0573 Acc: 98.22% | Test Loss: 0.2385 Acc: 92.76% | Best: 92.76%
Epoch 27/40 | Train Loss: 0.0522 Acc: 98.36% | Test Loss: 0.2384 Acc: 92.59% | Best: 92.76%
Epoch 28/40 | Train Loss: 0.0504 Acc: 98.48% | Test Loss: 0.2434 Acc: 92.63% | Best: 92.76%
Epoch 29/40 | Train Loss: 0.0481 Acc: 98.51% | Test Loss: 0.2456 Acc: 92.77% | Best: 92.77%
Epoch 30/40 | Train Loss: 0.0465 Acc: 98.51% | Test Loss: 0.2491 Acc: 92.68% | Best: 92.77%
Epoch 31/40 | Train Loss: 0.0422 Acc: 98.78% | Test Loss: 0.2484 Acc: 92.59% | Best: 92.77%
Epoch 32/40 | Train Loss: 0.0417 Acc: 98.74% | Test Loss: 0.2494 Acc: 92.62% | Best: 92.77%
Epoch 33/40 | Train Loss: 0.0413 Acc: 98.73% | Test Loss: 0.2463 Acc: 92.82% | Best: 92.82%
Epoch 34/40 | Train Loss: 0.0401 Acc: 98.79% | Test Loss: 0.2465 Acc: 92.77% | Best: 92.82%
Epoch 35/40 | Train Loss: 0.0408 Acc: 98.75% | Test Loss: 0.2458 Acc: 92.81% | Best: 92.82%
Epoch 36/40 | Train Loss: 0.0402 Acc: 98.82% | Test Loss: 0.2490 Acc: 92.68% | Best: 92.82%
Epoch 37/40 | Train Loss: 0.0388 Acc: 98.92% | Test Loss: 0.2487 Acc: 92.76% | Best: 92.82%
Epoch 38/40 | Train Loss: 0.0398 Acc: 98.82% | Test Loss: 0.2471 Acc: 92.95% | Best: 92.95%
Epoch 39/40 | Train Loss: 0.0403 Acc: 98.82% | Test Loss: 0.2462 Acc: 92.93% | Best: 92.95%
Epoch 40/40 | Train Loss: 0.0380 Acc: 98.91% | Test Loss: 0.2464 Acc: 92.83% | Best: 92.95%
Final Result: 92.95 +/- 0.00
