Running Multi-Seed Experiment: fpgm on vgg16/cifar10 ratio=0.3 seeds=[0, 1, 2]
--- Seed 0 ---
Calculating scores using fpgm (rho=0.5)...
Pruning threshold: 414.6484
Building new vgg16...
Epoch 1/40 | Train Loss: 2.3438 Acc: 13.19% | Test Loss: 2.1521 Acc: 20.00% | Best: 20.00%
Epoch 2/40 | Train Loss: 2.0389 Acc: 23.58% | Test Loss: 1.9137 Acc: 29.69% | Best: 29.69%
Epoch 3/40 | Train Loss: 1.9263 Acc: 29.26% | Test Loss: 1.8542 Acc: 32.52% | Best: 32.52%
Epoch 4/40 | Train Loss: 1.8813 Acc: 31.25% | Test Loss: 1.8376 Acc: 32.69% | Best: 32.69%
Epoch 5/40 | Train Loss: 1.8500 Acc: 32.65% | Test Loss: 1.7791 Acc: 35.20% | Best: 35.20%
Epoch 6/40 | Train Loss: 1.8211 Acc: 33.98% | Test Loss: 1.8282 Acc: 34.42% | Best: 35.20%
Epoch 7/40 | Train Loss: 1.8050 Acc: 34.40% | Test Loss: 1.7440 Acc: 37.21% | Best: 37.21%
Epoch 8/40 | Train Loss: 1.7895 Acc: 35.25% | Test Loss: 1.7518 Acc: 37.29% | Best: 37.29%
Epoch 9/40 | Train Loss: 1.7795 Acc: 35.49% | Test Loss: 1.7764 Acc: 36.84% | Best: 37.29%
Epoch 10/40 | Train Loss: 1.7696 Acc: 36.09% | Test Loss: 1.7110 Acc: 38.41% | Best: 38.41%
Epoch 11/40 | Train Loss: 1.7627 Acc: 36.40% | Test Loss: 1.7500 Acc: 37.36% | Best: 38.41%
Epoch 12/40 | Train Loss: 1.7529 Acc: 36.41% | Test Loss: 1.7156 Acc: 38.40% | Best: 38.41%
Epoch 13/40 | Train Loss: 1.7457 Acc: 36.68% | Test Loss: 1.7071 Acc: 39.09% | Best: 39.09%
Epoch 14/40 | Train Loss: 1.7384 Acc: 37.31% | Test Loss: 1.6780 Acc: 39.30% | Best: 39.30%
Epoch 15/40 | Train Loss: 1.7343 Acc: 37.40% | Test Loss: 1.6922 Acc: 39.79% | Best: 39.79%
Epoch 16/40 | Train Loss: 1.7307 Acc: 37.51% | Test Loss: 1.6790 Acc: 39.32% | Best: 39.79%
