epoch,train_loss,train_acc,test_loss,test_acc
0,1.589224941895136,40.708,1.2206208980083466,56.29
1,1.0706643318886038,61.548,1.0403290271759034,63.57
2,0.8521814858517074,69.896,0.748337607383728,73.88
3,0.7231406976499826,74.848,0.8971347326040268,70.73
4,0.6446034192581616,77.578,0.8247032764554024,72.45
5,0.5890786958015178,79.52,0.6053464901447296,79.59
6,0.5498046992379991,81.022,0.7851183038949966,73.56
7,0.5204459634583319,81.932,0.6055557024478913,79.86
8,0.4929635751125453,82.96,0.6281318110227585,79.77
9,0.47341602415684847,83.68,0.5504480570554733,81.35
10,0.4458172066742197,84.688,0.5250452366471291,82.34
11,0.4376251180001232,84.92,0.541926132440567,81.67
12,0.4180239513706978,85.554,0.47417427390813827,84.3
13,0.40681370612605455,85.984,0.534699142575264,82.22
14,0.39877688682750057,86.214,0.5453842450678349,82.2
15,0.38790722465728555,86.43,0.6303594809770584,79.76
16,0.378754983167819,86.988,0.504109760671854,83.77
17,0.37110851141040585,87.048,0.6854311811923981,79.17
18,0.36005448266063506,87.5,0.49072893112897875,83.98
19,0.3519506650355161,87.822,0.46201174139976503,84.36
20,0.34606505427366635,88.108,0.5054648837447167,84.11
21,0.33759590076363605,88.232,0.5177816979587078,83.66
22,0.3361865000804062,88.4,0.5557466876506806,83.08
23,0.3264457677560084,88.7,0.46796838521957396,84.68
24,0.32225373753196446,88.802,0.7753002390265464,78.33
25,0.3165439300601135,88.976,0.5239140018820763,83.25
