epoch,train_loss,train_acc,test_loss,test_acc,lr
1,3.9863403184073314,8.182,3.732741516828537,11.44,0.1
2,3.4448578576652373,16.39,3.6016244888305664,14.44,0.1
3,3.0508012126903146,23.166,3.1649056553840635,23.99,0.1
4,2.7115849426814487,29.5,2.88595654964447,26.36,0.1
5,2.460974477991766,34.716,2.5874453663825987,33.04,0.1
6,2.2768393718466466,38.596,2.7774165332317353,32.01,0.1
7,2.139065136106647,41.716,2.39227112531662,37.26,0.1
8,2.0286454406319834,44.744,2.4256085991859435,36.55,0.1
9,1.9410777098062086,46.17,2.1350565165281297,43.09,0.1
10,1.8741672032949876,48.23,2.437599802017212,37.22,0.1
11,1.8172301619636768,49.444,2.4643555343151093,38.64,0.1
12,1.7679482978217456,50.612,2.3302648782730104,39.57,0.1
13,1.725626862170745,51.88,2.286259961128235,42.52,0.1
14,1.6900941869434045,52.39,2.26109621822834,42.7,0.1
15,1.6456845974435612,53.612,2.2436568796634675,41.64,0.1
16,1.6288057967108123,54.188,2.3114850372076035,40.97,0.1
17,1.6068928150498136,54.704,2.1285343140363695,44.53,0.1
18,1.5794993286230126,55.402,2.3381723314523697,43.46,0.1
19,1.556025933854434,56.004,1.927984294295311,48.19,0.1
20,1.5449059386642612,56.082,2.077783337235451,45.2,0.1
21,1.5345561778058812,56.44,2.0424943178892137,45.78,0.1
22,1.5083312532123254,56.88,2.0265079587697983,46.75,0.1
23,1.4916781746611303,57.598,2.2768130213022233,43.8,0.1
24,1.4961503026436787,57.454,2.3988960325717925,40.69,0.1
25,1.4699270925959762,58.028,2.120132264494896,46.72,0.1
26,1.4610667015824998,58.502,1.897991207242012,49.38,0.1
27,1.4487889463804207,58.87,1.9649120569229126,48.22,0.1
28,1.4469453899227842,58.634,2.0756248205900194,45.75,0.1
29,1.4323864992783994,59.322,2.2672106236219407,42.72,0.1
30,1.4238849458645801,59.322,2.2410805940628054,45.32,0.1
31,1.4210829108345264,59.474,2.055556133389473,47.23,0.1
32,1.4143325145147285,59.594,2.1574705988168716,44.94,0.1
33,1.4066543524362602,59.492,1.9164962023496628,49.31,0.1
34,1.393065525560963,60.1,2.2445750892162324,45.37,0.1
35,1.3880668629188926,60.126,1.947459062933922,48.18,0.1
36,1.376625813391744,60.438,1.9214176923036574,49.11,0.1
37,1.3776016685427452,60.488,1.8873119801282883,48.61,0.1
38,1.3788282986806364,60.32,2.2219156324863434,43.58,0.1
39,1.37059713200647,60.544,2.4280865669250487,42.83,0.1
40,1.3618295064994268,60.788,1.9459354668855666,50.05,0.1
41,1.3581297665226215,60.934,1.8174233734607697,51.43,0.1
42,1.3639676692534466,60.96,2.318114250898361,43.2,0.1
43,1.3590669479905342,60.976,2.0452314049005507,47.22,0.1
44,1.349664877263867,61.102,1.753380936384201,52.47,0.1
45,1.3351362645626068,61.468,2.0727563440799712,47.44,0.1
46,1.335105016523478,61.842,2.0020019948482513,49.49,0.1
47,1.3315807057886708,61.644,1.7938822269439698,52.21,0.1
48,1.328604829554655,61.806,1.8090247243642807,51.27,0.1
49,1.3212444885652892,61.988,1.8493353098630905,51.08,0.1
50,1.3240214282152605,62.0,2.4436175882816316,42.36,0.1
51,1.3200503532983818,61.894,2.0320035010576247,49.23,0.1
52,1.3166450833787724,61.878,2.1611765772104263,46.44,0.1
53,1.3179217826346963,62.332,1.919443941116333,50.99,0.1
54,1.3051314877004039,62.29,1.8236944049596786,52.0,0.1
