epoch,train_acc,test_acc
1,42.026,45.78
2,61.99,51.78
3,69.322,63.86
4,73.394,63.13
5,76.138,73.8
6,77.254,68.31
7,78.376,75.92
8,79.248,71.1
9,79.464,69.89
10,80.3,72.61
11,80.538,73.29
12,80.812,69.58
13,81.336,76.32
14,81.814,64.4
15,81.534,63.65
16,82.108,70.66
17,82.208,71.58
18,82.512,74.08
19,82.378,69.7
20,82.99,72.95
21,82.716,76.51
22,82.942,76.42
23,83.018,76.09
24,83.154,69.24
25,83.054,74.83
26,83.41,76.7
27,83.306,76.03
28,83.606,73.03
29,83.692,81.14
30,84.012,81.3
31,83.91,74.05
32,84.034,77.29
33,84.056,77.75
34,84.106,75.16
35,84.112,82.38
36,84.394,76.45
37,84.298,67.82
38,84.264,76.77
39,84.32,80.18
40,84.708,75.26
41,84.544,77.54
42,84.49,80.66
43,84.504,79.6
44,84.588,79.67
45,84.732,76.88
46,84.356,81.58
47,84.764,77.84
48,84.712,79.44
49,84.746,74.02
50,84.964,76.58
51,84.852,78.92
52,84.866,72.3
53,85.062,76.09
54,84.732,80.98
55,84.74,76.3
56,84.838,81.85
57,85.07,77.7
58,84.756,79.32
59,84.878,78.28
60,85.1,77.8
61,85.184,78.42
62,84.99,80.9
63,85.152,78.15
64,85.206,74.81
65,85.078,80.07
66,85.096,78.14
67,85.228,80.94
68,85.132,75.82
69,85.284,79.19
70,85.196,76.45
71,85.336,79.16
72,85.072,78.95
73,85.148,74.39
74,85.372,78.9
75,85.154,78.24
76,85.638,82.03
77,85.482,81.93
78,85.386,81.51
79,85.496,81.25
80,85.166,77.48
81,85.304,82.86
82,85.55,78.46
83,85.304,78.13
84,85.274,79.93
85,85.412,81.43
86,85.402,75.99
87,85.296,78.0
88,85.478,80.23
89,85.26,81.86
90,85.45,81.38
91,85.744,81.58
92,85.552,82.52
93,85.142,80.15
94,85.288,80.79
95,85.466,77.57
96,85.356,78.55
97,85.412,80.46
98,85.364,78.6
99,85.334,80.08
100,85.7,78.46
