epoch,train_loss,train_acc,test_loss,test_acc,lr
1,3.7178221846480506,13.976,3.2451950356930115,21.62,0.010000000000000002
2,2.781089995523243,29.534,2.4915503851975065,36.56,0.010000000000000002
3,2.175415116807689,42.064,2.4201309348963482,40.59,0.010000000000000002
4,1.8715956144015808,48.892,2.0093035652667663,46.88,0.010000000000000002
5,1.6847962205062437,53.492,2.1018639652034903,45.8,0.010000000000000002
6,1.5833347304092953,55.924,1.7252002305622343,52.91,0.010000000000000002
7,1.5149833210898787,57.588,1.7443498720096637,52.81,0.010000000000000002
8,1.4759883932445361,58.586,1.7064379695095593,53.91,0.010000000000000002
9,1.4364628810102067,59.454,1.8108913611762132,51.58,0.010000000000000002
10,1.397830146352958,60.49,1.6545922907092903,55.92,0.010000000000000002
11,1.3764653833930756,60.88,1.628008684025535,55.64,0.010000000000000002
12,1.3565345350128915,61.524,1.6364293596412562,55.89,0.010000000000000002
13,1.3402345576859496,61.888,1.6280775296537182,55.64,0.010000000000000002
14,1.3265699940874143,62.398,1.6810223875166495,54.74,0.010000000000000002
15,1.3083051661091387,62.496,1.7633346771892113,53.36,0.010000000000000002
16,1.2922859178174793,63.16,1.6136123409754113,55.81,0.010000000000000002
17,1.2814306749407287,63.362,1.6409141383593595,56.28,0.010000000000000002
18,1.2750973774648993,63.542,1.571868883658059,57.5,0.010000000000000002
19,1.2656025764582408,63.788,1.7161400846288175,54.06,0.010000000000000002
20,1.2524008700609817,64.084,1.6622749446313592,56.25,0.010000000000000002
21,1.2445265475441427,64.412,1.6178302463096907,56.61,0.010000000000000002
22,1.238652065891744,64.478,1.6094812154769897,56.6,0.010000000000000002
23,1.2309108018265356,64.892,1.6406903840318512,55.69,0.010000000000000002
24,1.2227107385540252,64.906,1.5962204314485382,57.76,0.010000000000000002
25,1.2190743561291024,65.002,1.5462929282007338,57.38,0.010000000000000002
26,1.2083902253824121,64.996,1.6700042923794518,55.81,0.010000000000000002
27,1.2025451106793434,65.388,1.5826427431046208,57.5,0.010000000000000002
28,1.1981731232474833,65.584,1.6807035811339752,55.83,0.010000000000000002
29,1.191537880988987,65.636,1.63795152495179,56.06,0.010000000000000002
30,1.184868753413715,65.786,1.5723129420340816,57.79,0.010000000000000002
31,1.1829531067777472,65.958,1.5577138617068906,57.59,0.010000000000000002
32,1.1741792707492018,66.13,1.6178318277190002,55.59,0.010000000000000002
33,1.1713425248785092,66.11,1.809263734877864,53.95,0.010000000000000002
34,1.1755460554071704,65.992,1.5295407304280921,58.28,0.010000000000000002
35,1.165775008366236,66.428,1.6503408951095389,56.6,0.010000000000000002
36,1.1592638257824246,66.568,1.6553123781952677,55.89,0.010000000000000002
37,1.155099546970309,66.502,1.4716498202915433,59.17,0.010000000000000002
38,1.1499611454851486,66.58,1.5646967088119894,57.87,0.010000000000000002
39,1.1489538173846272,66.728,1.6964614089531234,55.38,0.010000000000000002
40,1.1429920928252628,67.05,1.611551284790039,57.01,0.010000000000000002
41,1.1343059638881927,67.166,1.5154017964495887,57.87,0.010000000000000002
42,1.1430907313476133,66.852,1.7400537457647203,54.77,0.010000000000000002
43,1.1365746183468557,67.298,1.5315258880204792,58.68,0.010000000000000002
44,1.1313076121422945,67.306,1.6717103855519355,56.41,0.010000000000000002
45,1.1339801857843423,67.128,1.6229411152344715,56.86,0.010000000000000002
46,1.1257208895195476,67.31,1.759020373791079,53.85,0.010000000000000002
47,1.125457264578251,67.412,1.5199101982237417,58.45,0.010000000000000002
48,1.1249955136452794,67.464,1.5622327991678744,57.93,0.010000000000000002
49,1.1210591921111202,67.588,1.5898912828179854,57.39,0.010000000000000002
50,1.1190552403554892,67.578,1.6295181799538527,57.02,0.0010000000000000002
51,0.9579572604440362,72.23,1.306697792644742,63.71,0.0010000000000000002
52,0.9076871254559978,73.642,1.2809411785270595,64.12,0.0010000000000000002
53,0.8911471812011641,74.202,1.280640423297882,64.12,0.0010000000000000002
54,0.8819021169486863,74.698,1.2707812816281863,64.68,0.0010000000000000002
55,0.875548740939411,74.602,1.2695062205761294,64.54,0.0010000000000000002
56,0.8709724832068929,74.956,1.2820894567272332,64.42,0.0010000000000000002
57,0.8617729887633068,75.032,1.278266148476661,64.19,0.0010000000000000002
58,0.8576310574246184,75.186,1.2701472338241866,64.43,0.0010000000000000002
59,0.8594134375262443,74.98,1.2752243959451024,64.61,0.0010000000000000002
60,0.8508304577044514,75.416,1.2737955262389364,64.96,0.0010000000000000002
61,0.8507424556385831,75.322,1.2766733222369906,64.56,0.0010000000000000002
62,0.8444295726773684,75.562,1.2832290318947803,64.79,0.0010000000000000002
63,0.8398655617938322,75.664,1.275248950040793,65.07,0.0010000000000000002
64,0.8418726818945707,75.634,1.2768583350543734,64.67,0.0010000000000000002
65,0.8407792144114404,75.522,1.2745380341252195,64.67,0.0010000000000000002
66,0.839785035461416,75.656,1.2751776432689232,64.93,0.0010000000000000002
67,0.837705616603422,75.662,1.2809219322627103,64.63,0.0010000000000000002
68,0.8278406962104465,75.89,1.2796132451371303,64.49,0.0010000000000000002
69,0.8298475707278532,75.978,1.2782873669757118,64.7,0.0010000000000000002
70,0.8304466922264879,75.768,1.278455320038373,64.56,0.0010000000000000002
71,0.8260131780143893,75.898,1.277662018431893,64.21,0.0010000000000000002
72,0.8209345686771071,76.07,1.2792878845069982,64.26,0.0010000000000000002
73,0.8215480806577541,76.104,1.2839089134071446,64.46,0.0010000000000000002
74,0.8204811020275516,76.042,1.2875081496902658,64.39,0.0010000000000000002
75,0.8179464488078261,76.184,1.2938263333296474,64.23,0.00010000000000000003
76,0.7979943569358963,76.776,1.2757728205451482,64.56,0.00010000000000000003
77,0.7911989188865017,77.044,1.2745716353006,64.81,0.00010000000000000003
78,0.7916222318359043,76.978,1.2747620502604713,64.82,0.00010000000000000003
79,0.7882344103835123,77.03,1.2719154953956604,64.84,0.00010000000000000003
80,0.7878721146022573,77.186,1.2717277784890766,64.81,0.00010000000000000003
81,0.785701504296354,77.368,1.2692243713366835,64.84,0.00010000000000000003
82,0.7864297073515479,77.172,1.272819918167742,64.65,0.00010000000000000003
83,0.7881834372839964,77.248,1.2728653270987016,64.89,0.00010000000000000003
84,0.7894064591973639,77.108,1.2693881347209592,64.79,0.00010000000000000003
85,0.7856258934416125,77.39,1.2730143628542936,64.82,0.00010000000000000003
86,0.7860489829117075,77.16,1.2715915207621418,64.85,0.00010000000000000003
87,0.7848615397882583,77.356,1.2713529626025428,64.78,0.00010000000000000003
88,0.7873782573453606,77.198,1.2736500116843212,64.87,0.00010000000000000003
89,0.7818631270657415,77.286,1.2698815215992023,64.9,0.00010000000000000003
90,0.7846578476983873,77.228,1.2735131609288952,64.79,0.00010000000000000003
91,0.7862728167982662,77.226,1.2731973845747453,64.81,0.00010000000000000003
92,0.782467793930522,77.162,1.271492383902586,64.8,0.00010000000000000003
93,0.7839920982680357,77.314,1.2730621137196505,64.85,0.00010000000000000003
94,0.7864981985762906,77.054,1.2731317885314362,64.74,0.00010000000000000003
95,0.7838052192612377,77.31,1.268025365056871,65.11,0.00010000000000000003
96,0.7785566180868222,77.436,1.270281126982049,65.01,0.00010000000000000003
97,0.7787299212592337,77.342,1.2741866119300262,64.86,0.00010000000000000003
98,0.781858800469762,77.314,1.2728543500357037,64.88,0.00010000000000000003
99,0.7817615346835397,77.342,1.2744493967370143,64.84,0.00010000000000000003
100,0.7831994456708279,77.378,1.2741473286966734,64.78,0.00010000000000000003
