epoch,train_loss,train_acc,test_loss,test_acc,lr
1,2.285871673423006,40.898,1.973960968512523,46.61,0.010000000000000002
2,1.579075542862153,55.594,1.6032151210157177,55.13,0.010000000000000002
3,1.431027298693157,59.092,1.6217619920078712,55.15,0.010000000000000002
4,1.3463384373413632,61.128,1.5377814558487903,57.18,0.010000000000000002
5,1.289470652027813,62.738,1.7331245956541617,53.33,0.010000000000000002
6,1.2458670396938958,63.98,1.5429084316084656,57.77,0.010000000000000002
7,1.2085595383973378,64.768,1.649834091150308,55.96,0.010000000000000002
8,1.1880505339568839,65.194,1.4770581043219264,59.11,0.010000000000000002
9,1.15850977321415,66.166,1.583004735693147,56.43,0.010000000000000002
10,1.1409898138107242,66.614,1.45113645475122,59.08,0.010000000000000002
11,1.1246554877447046,67.086,1.6022707676585717,56.2,0.010000000000000002
12,1.1158698542648569,67.208,1.5414470238021658,58.31,0.010000000000000002
13,1.0989894953835042,67.654,1.5073169258576404,58.66,0.010000000000000002
14,1.082887332000391,68.01,1.4620090240164647,59.79,0.010000000000000002
15,1.0678893992358156,68.736,1.3695088458966604,61.64,0.010000000000000002
16,1.06151360944104,68.702,1.4506094380270076,59.92,0.010000000000000002
17,1.0478803108415335,68.986,1.3648470625092712,61.79,0.010000000000000002
18,1.044020431120987,69.334,1.4345149133778825,60.35,0.010000000000000002
19,1.0339182950651553,69.516,1.4198822054681899,60.4,0.010000000000000002
20,1.0227998772545543,69.8,1.4596016437192507,60.37,0.0010000000000000002
21,0.8460614571485983,75.318,1.1653797505777093,67.06,0.0010000000000000002
22,0.79637154791971,76.844,1.1562284246275696,67.22,0.0010000000000000002
23,0.7789821603414043,77.392,1.1616717916500718,67.38,0.0010000000000000002
24,0.7673133181793915,77.534,1.1496739515775367,67.35,0.0010000000000000002
25,0.7590516929126456,77.7,1.1574383227131035,67.36,0.0010000000000000002
26,0.7448932083366472,78.23,1.1609171493143975,67.49,0.0010000000000000002
27,0.7412702188924756,78.342,1.1616267252571975,67.12,0.0010000000000000002
28,0.7362070995218614,78.44,1.1581799644458144,67.35,0.0010000000000000002
29,0.7298898978916275,78.452,1.157404372209235,67.21,0.0010000000000000002
30,0.7240175049933021,78.668,1.163374809524681,67.32,0.00010000000000000003
31,0.7059425630837756,79.336,1.153620491299448,67.36,0.00010000000000000003
32,0.7010127453852797,79.43,1.1495891130423244,67.6,0.00010000000000000003
33,0.6975239568659107,79.604,1.1504487259478509,67.44,0.00010000000000000003
34,0.6967121249879412,79.658,1.1491995936707606,67.65,0.00010000000000000003
35,0.6984209926689372,79.412,1.1496260694310636,67.59,0.00010000000000000003
36,0.6974093327894235,79.498,1.1502832378013224,67.41,0.00010000000000000003
37,0.6951071228212713,79.472,1.1475305926950672,67.53,0.00010000000000000003
38,0.6953862754585188,79.606,1.1525586745407008,67.47,0.00010000000000000003
39,0.6942494156415505,79.628,1.1532696470429626,67.35,0.00010000000000000003
40,0.6918940809376709,79.878,1.1527284994910034,67.39,0.00010000000000000003
