architecture,dataset,method,ratio,seed,baseline_acc,pruned_acc,acc_drop
vgg16,cifar10,l1,0.3,0,10.0,91.74,-81.74
vgg16,cifar10,l1,0.3,1,10.0,91.9,-81.9
vgg16,cifar10,l1,0.3,2,10.0,91.78,-81.78
vgg16,cifar10,l1,0.5,0,10.0,91.74,-81.74
vgg16,cifar10,l1,0.5,1,10.0,91.8,-81.8
vgg16,cifar10,l1,0.5,2,10.0,91.83,-81.83
vgg16,cifar10,l1,0.7,0,10.0,91.68,-81.68
vgg16,cifar10,l1,0.7,1,10.0,91.68,-81.68
vgg16,cifar10,l1,0.7,2,10.0,91.81,-81.81
vgg16,cifar10,gra,0.3,0,10.0,92.1,-82.1
vgg16,cifar10,gra,0.3,1,10.0,91.58,-81.58
