epoch,train_loss,train_acc,test_loss,test_acc
1,0.4966,83.18,0.4917,84.31
2,0.3084,89.34,0.4017,86.98
3,0.2722,90.52,0.3808,87.04
4,0.2456,91.45,0.4449,86.05
5,0.2337,91.91,0.3810,87.62
6,0.2165,92.53,0.3499,88.65
7,0.2128,92.61,0.4470,86.54
8,0.2033,92.87,0.4025,87.10
9,0.1984,93.10,0.3108,89.60
10,0.1865,93.51,0.3763,87.83
11,0.1885,93.45,0.3945,87.77
12,0.1855,93.47,0.3647,88.64
13,0.1744,93.98,0.3563,89.14
14,0.1749,94.01,0.3376,89.44
15,0.1662,94.24,0.3325,89.48
16,0.1665,94.32,0.3657,88.32
17,0.1627,94.42,0.3395,88.94
18,0.1607,94.49,0.3199,89.81
19,0.1554,94.54,0.4256,87.71
20,0.1632,94.33,0.3545,88.59
21,0.1014,96.69,0.2513,91.98
22,0.0781,97.59,0.2491,92.09
23,0.0712,97.72,0.2497,92.18
24,0.0636,98.06,0.2526,92.23
25,0.0626,98.07,0.2533,92.38
26,0.0582,98.29,0.2587,92.37
27,0.0534,98.35,0.2562,92.47
28,0.0516,98.40,0.2602,92.44
29,0.0507,98.48,0.2579,92.29
30,0.0484,98.54,0.2615,92.40
31,0.0450,98.66,0.2599,92.32
32,0.0432,98.76,0.2597,92.45
33,0.0419,98.79,0.2594,92.43
34,0.0430,98.76,0.2598,92.38
35,0.0420,98.79,0.2596,92.51
36,0.0426,98.77,0.2583,92.53
37,0.0405,98.85,0.2565,92.58
38,0.0409,98.85,0.2577,92.58
39,0.0426,98.81,0.2583,92.40
40,0.0405,98.86,0.2581,92.44
