epoch,train_loss,train_acc,test_loss,test_acc
1,0.4936,83.23,0.4850,83.76
2,0.2964,89.82,0.3643,87.93
3,0.2630,90.86,0.4271,86.40
4,0.2446,91.56,0.3294,89.25
5,0.2261,92.17,0.3534,88.28
6,0.2183,92.53,0.3813,87.81
7,0.2074,92.76,0.4127,86.66
8,0.2019,93.10,0.3557,88.38
9,0.1953,93.20,0.4095,87.29
10,0.1913,93.42,0.4124,87.39
11,0.1850,93.61,0.2942,90.44
12,0.1790,93.86,0.4031,87.51
13,0.1755,93.92,0.4558,85.89
14,0.1730,94.00,0.3647,88.59
15,0.1703,94.09,0.3742,88.37
16,0.1686,94.15,0.3223,89.76
17,0.1609,94.51,0.3807,87.95
18,0.1622,94.33,0.3183,89.79
19,0.1553,94.70,0.3185,89.81
20,0.1486,94.79,0.3134,90.30
21,0.0969,96.82,0.2443,92.56
22,0.0766,97.61,0.2447,92.50
23,0.0709,97.74,0.2435,92.66
24,0.0636,98.01,0.2446,92.65
25,0.0584,98.22,0.2479,92.52
26,0.0557,98.22,0.2478,92.55
27,0.0535,98.34,0.2506,92.76
28,0.0503,98.47,0.2522,92.64
29,0.0492,98.48,0.2521,92.54
30,0.0470,98.57,0.2537,92.82
31,0.0448,98.70,0.2503,92.74
32,0.0443,98.66,0.2500,92.78
33,0.0431,98.74,0.2494,92.82
34,0.0413,98.83,0.2491,92.75
35,0.0423,98.79,0.2532,92.67
36,0.0416,98.80,0.2498,92.85
37,0.0412,98.81,0.2506,92.78
38,0.0406,98.79,0.2496,92.86
39,0.0398,98.86,0.2502,92.91
40,0.0404,98.81,0.2481,92.88
