epoch,train_loss,train_acc,test_loss,test_acc
1,0.4144,85.88,0.4423,85.43
2,0.2778,90.37,0.3551,88.33
3,0.2435,91.63,0.3934,87.03
4,0.2286,92.14,0.3578,88.53
5,0.2178,92.57,0.3705,88.12
6,0.2083,92.78,0.3743,88.32
7,0.2009,93.12,0.4181,87.19
8,0.1890,93.57,0.3924,88.21
9,0.1820,93.80,0.3708,88.75
10,0.1851,93.58,0.3389,89.35
11,0.1735,94.03,0.3645,88.19
12,0.1704,94.11,0.3715,88.27
13,0.1659,94.33,0.3192,89.57
14,0.1647,94.41,0.3215,89.86
15,0.1612,94.39,0.3394,89.43
16,0.1583,94.60,0.3474,89.16
17,0.1533,94.73,0.3983,87.91
18,0.1506,94.74,0.3731,88.56
19,0.1504,94.79,0.3301,89.82
20,0.1486,94.92,0.3232,89.76
21,0.0931,96.95,0.2355,92.58
22,0.0712,97.80,0.2356,92.64
23,0.0626,98.11,0.2354,92.66
24,0.0561,98.32,0.2413,92.68
25,0.0538,98.37,0.2408,93.09
26,0.0500,98.48,0.2420,92.80
27,0.0485,98.57,0.2437,92.73
28,0.0463,98.60,0.2421,92.99
29,0.0438,98.70,0.2458,92.68
30,0.0427,98.71,0.2457,92.76
31,0.0402,98.84,0.2442,92.79
32,0.0379,98.95,0.2439,92.81
33,0.0370,98.99,0.2451,92.89
34,0.0373,98.94,0.2452,92.84
35,0.0360,99.02,0.2432,92.92
36,0.0356,99.00,0.2441,92.96
37,0.0368,98.93,0.2443,92.85
38,0.0376,98.92,0.2442,93.00
39,0.0370,98.94,0.2453,93.00
40,0.0362,98.99,0.2447,93.06
