

============================================================
开始时间: 2025-12-30 20:06:12
队列大小: 123
============================================================
resnet20/cifar10/gra/r=0.3: FAILED (0.1min)
resnet20/cifar10/gra/r=0.5: FAILED (0.1min)
resnet20/cifar10/gra/r=0.7: FAILED (0.1min)
resnet20/cifar10/l1/r=0.4: FAILED (0.1min)
resnet20/cifar10/l1/r=0.6: FAILED (0.1min)
resnet20/cifar10/fpgm/r=0.3: FAILED (0.1min)
resnet20/cifar10/fpgm/r=0.4: FAILED (0.1min)
resnet20/cifar10/fpgm/r=0.6: FAILED (0.1min)
resnet20/cifar10/hrank/r=0.4: FAILED (0.1min)
resnet20/cifar10/hrank/r=0.6: FAILED (0.1min)
resnet20/cifar100/fpgm/r=0.3: FAILED (0.1min)
resnet20/cifar100/fpgm/r=0.4: FAILED (0.1min)
resnet20/cifar100/fpgm/r=0.6: FAILED (0.1min)
resnet20/cifar100/fpgm/r=0.7: FAILED (0.1min)
resnet20/cifar100/hrank/r=0.3: FAILED (0.1min)
resnet20/cifar100/hrank/r=0.4: FAILED (0.1min)
resnet20/cifar100/hrank/r=0.6: FAILED (0.1min)
resnet20/cifar100/hrank/r=0.7: FAILED (0.1min)
resnet56/cifar10/gra/r=0.3: FAILED (0.1min)
resnet56/cifar10/gra/r=0.5: FAILED (0.1min)
resnet56/cifar10/gra/r=0.7: FAILED (0.1min)
resnet56/cifar10/l1/r=0.3: FAILED (0.1min)
resnet56/cifar10/l1/r=0.4: FAILED (0.1min)
resnet56/cifar10/l1/r=0.5: FAILED (0.1min)
resnet56/cifar10/l1/r=0.6: FAILED (0.1min)
resnet56/cifar10/l1/r=0.7: FAILED (0.1min)
resnet56/cifar10/fpgm/r=0.4: FAILED (0.1min)
resnet56/cifar10/fpgm/r=0.6: FAILED (0.1min)
resnet56/cifar10/hrank/r=0.4: FAILED (0.1min)
resnet56/cifar10/hrank/r=0.6: FAILED (0.1min)
resnet56/cifar100/gra/r=0.4: FAILED (0.1min)
resnet56/cifar100/gra/r=0.6: FAILED (0.1min)
resnet56/cifar100/l1/r=0.4: FAILED (0.1min)
resnet56/cifar100/l1/r=0.5: FAILED (0.1min)
resnet56/cifar100/l1/r=0.6: FAILED (0.1min)
resnet56/cifar100/fpgm/r=0.3: FAILED (0.1min)
resnet56/cifar100/fpgm/r=0.4: FAILED (0.1min)
resnet56/cifar100/fpgm/r=0.5: FAILED (0.1min)
resnet56/cifar100/fpgm/r=0.6: FAILED (0.1min)
resnet56/cifar100/fpgm/r=0.7: FAILED (0.1min)
resnet56/cifar100/hrank/r=0.3: FAILED (0.1min)
resnet56/cifar100/hrank/r=0.4: FAILED (0.1min)
resnet56/cifar100/hrank/r=0.5: FAILED (0.1min)
resnet56/cifar100/hrank/r=0.6: FAILED (0.1min)
resnet56/cifar100/hrank/r=0.7: FAILED (0.1min)
resnet110/cifar10/gra/r=0.3: FAILED (0.1min)
resnet110/cifar10/gra/r=0.4: FAILED (0.1min)
resnet110/cifar10/gra/r=0.6: FAILED (0.1min)
resnet110/cifar10/gra/r=0.7: FAILED (0.1min)
resnet110/cifar10/l1/r=0.3: FAILED (0.1min)
resnet110/cifar10/l1/r=0.4: FAILED (0.1min)
resnet110/cifar10/l1/r=0.6: FAILED (0.1min)
resnet110/cifar10/l1/r=0.7: FAILED (0.1min)
resnet110/cifar10/fpgm/r=0.3: FAILED (0.1min)
resnet110/cifar10/fpgm/r=0.4: FAILED (0.1min)
resnet110/cifar10/fpgm/r=0.5: FAILED (0.1min)
resnet110/cifar10/fpgm/r=0.6: FAILED (0.1min)
resnet110/cifar10/fpgm/r=0.7: FAILED (0.1min)
resnet110/cifar10/hrank/r=0.3: FAILED (0.1min)
resnet110/cifar10/hrank/r=0.4: FAILED (0.1min)
resnet110/cifar10/hrank/r=0.5: FAILED (0.1min)
resnet110/cifar10/hrank/r=0.6: FAILED (0.1min)
resnet110/cifar10/hrank/r=0.7: FAILED (0.1min)
resnet110/cifar100/gra/r=0.3: FAILED (0.1min)
resnet110/cifar100/gra/r=0.4: FAILED (0.1min)
resnet110/cifar100/gra/r=0.5: FAILED (0.1min)
resnet110/cifar100/gra/r=0.6: FAILED (0.1min)
resnet110/cifar100/gra/r=0.7: FAILED (0.1min)
resnet110/cifar100/l1/r=0.3: FAILED (0.1min)
resnet110/cifar100/l1/r=0.4: FAILED (0.1min)
resnet110/cifar100/l1/r=0.5: FAILED (0.1min)
resnet110/cifar100/l1/r=0.6: FAILED (0.1min)
resnet110/cifar100/l1/r=0.7: FAILED (0.1min)
resnet110/cifar100/fpgm/r=0.3: FAILED (0.1min)
resnet110/cifar100/fpgm/r=0.4: FAILED (0.1min)
resnet110/cifar100/fpgm/r=0.5: FAILED (0.1min)
resnet110/cifar100/fpgm/r=0.6: FAILED (0.1min)
resnet110/cifar100/fpgm/r=0.7: FAILED (0.1min)
resnet110/cifar100/hrank/r=0.3: FAILED (0.1min)
resnet110/cifar100/hrank/r=0.4: FAILED (0.1min)
resnet110/cifar100/hrank/r=0.5: FAILED (0.1min)
resnet110/cifar100/hrank/r=0.6: FAILED (0.1min)
resnet110/cifar100/hrank/r=0.7: FAILED (0.1min)
