Epoch,TestAccuracy
0,81.28
1,83.69
2,84.92
3,85.01
4,85.15
5,85.04
6,85.44
7,85.42
8,85.89
9,86.7
10,84.25
11,85.48
12,85.99
13,85.54
14,85.52
15,86.44
16,86.32
17,86.31
18,85.47
19,85.63
20,85.9
21,86.67
22,84.02
23,86.07
24,85.5
25,84.51
26,86.65
27,85.97
28,85.47
29,85.15
30,86.51
31,86.13
32,86.01
33,86.3
34,86.04
35,86.43
36,86.51
37,85.41
38,83.98
39,83.83
40,86.14
41,84.7
42,85.2
43,84.73
44,86.03
45,85.9
46,85.13
47,85.84
48,85.25
49,87.34
50,89.28
51,89.4
52,89.1
53,89.37
54,89.26
55,89.48
56,89.5
57,89.46
58,89.36
59,89.66
60,89.24
61,89.45
62,89.46
63,89.39
64,89.39
65,89.64
66,89.21
67,89.49
68,89.45
69,89.44
70,89.47
71,89.57
72,89.17
73,89.39
74,89.4
75,89.49
76,89.43
77,89.43
78,89.48
79,89.49
80,89.54
81,89.52
82,89.38
83,89.48
84,89.57
85,89.46
86,89.56
87,89.59
88,89.49
89,89.47
90,89.56
91,89.46
92,89.48
93,89.42
94,89.44
95,89.4
96,89.39
97,89.4
98,89.38
99,89.5
