Epoch,TestAccuracy
0,86.32
1,87.7
2,87.73
3,86.98
4,87.73
5,87.82
6,88.1
7,88.52
8,87.41
9,88.16
10,87.7
11,87.46
12,87.99
13,88.63
14,88.81
15,88.3
16,87.09
17,87.61
18,87.63
19,88.44
20,88.62
21,88.72
22,87.7
23,86.71
24,87.29
25,88.52
26,87.68
27,88.08
28,87.64
29,87.25
30,88.32
31,87.46
32,88.39
33,88.3
34,88.26
35,87.1
36,87.57
37,85.73
38,88.64
39,88.4
40,88.03
41,88.47
42,88.42
43,88.85
44,87.84
45,86.95
46,87.94
47,87.81
48,87.52
49,88.6
50,90.53
51,90.62
52,90.74
53,90.87
54,90.7
55,90.88
56,91.02
57,90.98
58,90.92
59,91.12
60,90.83
61,90.87
62,90.89
63,90.78
64,90.96
65,90.96
66,90.9
67,90.82
68,91.01
69,91.19
70,90.98
71,90.92
72,90.78
73,91.03
74,91.0
75,91.05
76,90.85
77,90.96
78,91.04
79,91.04
80,91.04
81,91.06
82,90.99
83,91.0
84,90.96
85,90.96
86,90.93
87,90.84
88,91.06
89,90.95
90,91.09
91,90.99
92,90.98
93,90.95
94,90.97
95,90.97
96,90.99
97,91.12
98,91.03
99,90.87
