Dataset,Model,Method,PruningRatio,Rho,Accuracy,FLOPs,Params,FLOPs_Red,Params_Red
cifar10,resnet20,l1,0.3,0.5,15.0000,54199562,213450,33.60,21.21
cifar10,resnet20,hrank,0.3,0.5,89.7600,76981514,234618,5.69,13.40
cifar10,resnet20,hrank,0.5,0.5,89.6600,76981514,234618,5.69,13.40
cifar10,resnet20,hrank,0.7,0.5,85.7400,48928010,57354,40.06,78.83
cifar10,resnet20,fpgm,0.7,0.5,85.7500,18994442,123306,76.73,54.48
cifar10,resnet20,l1,0.3,0.5,89.0400,54199562,213450,33.60,21.21
cifar10,resnet20,l1,0.5,0.5,87.6000,34182410,176298,58.12,34.92
cifar100,resnet20,gra,0.5,0.5,64.5000,40866404,142260,49.94,48.60
cifar100,resnet20,fpgm,0.5,0.5,63.4000,27300452,193956,66.56,29.92
cifar100,resnet20,l1,0.5,0.5,64.7800,32055908,184452,60.73,33.35
cifar100,resnet20,hrank,0.5,0.5,68.0100,75592292,229524,7.41,17.07
cifar100,resnet20,gra,0.3,0.5,66.1800,55980644,195108,31.43,29.50
cifar100,resnet20,gra,0.7,0.5,59.9200,23429732,88116,71.30,68.16
cifar10,resnet56,fpgm,0.3,0.5,87.2900,125273354,721626,50.19,15.25
cifar10,resnet56,fpgm,0.3,0.5,92.5900,125273354,721626,50.19,15.25
cifar10,resnet56,fpgm,0.5,0.5,91.2000,81257738,573450,67.69,32.66
cifar10,resnet56,fpgm,0.7,0.5,90.7900,51766538,343050,79.42,59.71
cifar10,resnet56,hrank,0.5,0.5,91.0100,82990346,561066,67.00,34.11
cifar10,resnet56,hrank,0.7,0.5,88.5400,53941514,360042,78.55,57.72
cifar10,resnet56,fpgm,0.3,0.5,92.8200,125273354,721626,50.19,15.25
cifar10,resnet56,fpgm,0.7,0.5,90.5700,51766538,343050,79.42,59.71
cifar100,resnet56,gra,0.5,0.5,70.7800,115774052,451428,53.97,47.35
cifar100,resnet56,l1,0.3,0.5,70.6500,127570532,730212,49.28,14.83
cifar100,resnet56,gra,0.3,0.5,71.2200,177558116,596724,29.40,30.40
cifar100,resnet56,gra,0.7,0.5,67.3900,72237668,261204,71.28,69.53
cifar100,resnet56,l1,0.7,0.5,66.0700,54100580,367044,78.49,57.19
cifar10,resnet20,gra,0.4,0.5,85.9400,55268618,149658,32.29,44.76
cifar10,resnet110,gra,0.5,0.5,92.6000,276636938,801690,45.36,53.46
cifar10,resnet56,gra,0.4,0.5,93.0200,165455114,463146,34.21,45.61
cifar10,resnet20,gra,0.6,0.5,84.5300,39785738,94794,51.26,65.01
cifar10,resnet56,gra,0.6,0.5,92.5200,114582794,303306,54.44,64.38
cifar10,resnet20,gra,0.8,0.5,81.9800,23491850,44394,71.22,83.61
cifar10,resnet56,gra,0.8,0.5,90.5400,60724490,150810,75.85,82.29
cifar10,resnet110,l1,0.5,0.5,93.1500,173933834,1092282,65.65,36.58
