epoch,train_loss,train_acc,test_loss,test_acc,lr
1,1.0829009683713346,70.04,2.055222000286078,54.75,0.01
2,0.6845787256975168,80.862,2.0049354904776164,55.23,0.01
3,0.6235339162407666,83.098,1.9522738487097868,55.75,0.01
4,0.6080502774268484,83.89,2.002263255559715,55.4,0.01
5,0.6157797207187096,83.484,2.0175170482723574,54.75,0.01
6,0.6430861386193424,82.722,2.058498996078588,54.11,0.01
7,0.6703503727245544,81.951,2.0610888543402313,54.06,0.01
8,0.7006149319830569,80.933,2.123678145135284,53.46,0.01
9,0.722374400437374,80.428,2.1220944766785688,52.9,0.01
10,0.7456368338924452,79.777,2.0195948056354642,54.83,0.01
11,0.7654750706557654,79.062,2.1495534659950595,52.75,0.01
12,0.7784894615583365,78.747,2.073415557669986,52.92,0.001
13,0.42728363551433013,90.361,1.6920077314802036,60.87,0.001
14,0.31501241729988627,94.01,1.6803345460041312,60.88,0.001
15,0.27526229162362625,95.263,1.6882389385229464,60.98,0.001
16,0.24912254643874984,96.069,1.6994033865867906,60.87,0.001
17,0.22986414022290852,96.605,1.7025009693613478,60.95,0.001
18,0.21301091729793806,97.112,1.7007161418723453,61.04,0.0001
19,0.19191579708039416,97.681,1.7002824180445093,61.06,0.0001
20,0.1899329425024628,97.698,1.6923754108939202,61.2,0.0001
21,0.18604101135287618,97.852,1.6987963709861609,61.11,0.0001
22,0.18464982242192965,97.886,1.699222669669777,61.06,0.0001
23,0.18368646022950086,97.895,1.697487570297946,61.11,0.0001
24,0.18281590508598589,97.914,1.7021544382071039,60.91,0.0001
25,0.1790302453761633,98.016,1.6965736340565287,60.99,0.0001
