epoch,train_loss,train_acc,test_loss,test_acc,lr
1,2.3630005729099306,44.985,2.4497148584408364,48.59,0.01
2,0.993004308819237,72.277,2.2295130905072402,51.24,0.01
3,0.8042559714860361,78.146,2.213121049723048,50.87,0.01
4,0.7262774026325248,80.614,2.1301431538193087,53.64,0.01
5,0.6971525562282411,81.374,2.114050928574459,52.49,0.01
6,0.6868836383787547,81.879,2.158671421989514,52.51,0.01
7,0.696210781733195,81.347,2.1714159770376362,52.32,0.01
8,0.7183604289229986,80.696,2.1452016549505246,52.36,0.01
9,0.7436017113012605,79.839,2.394983553203048,48.18,0.01
10,0.7598964197660056,79.493,2.259415996302465,50.39,0.01
11,0.7849121798289868,78.611,2.458068428145852,48.06,0.01
12,0.796706934407668,78.41,2.136604669367432,51.78,0.001
13,0.4282179057445575,90.493,1.7903324954069344,58.96,0.001
14,0.3235723674964691,93.921,1.7809431647798817,59.22,0.001
15,0.28519766851163264,95.111,1.7786476995534957,59.51,0.001
16,0.2585722866562873,95.961,1.777877941253079,59.57,0.001
17,0.2381654887800406,96.588,1.7796725323245783,59.5,0.001
18,0.2230088134616213,96.943,1.7877307021693818,59.41,0.0001
19,0.19994736133442426,97.589,1.7733084899225053,59.7,0.0001
20,0.1982138353475606,97.654,1.7784394247896353,59.67,0.0001
21,0.19561666586768223,97.69,1.7751929653677971,59.79,0.0001
22,0.1945727492801211,97.748,1.773997494559379,59.59,0.0001
23,0.19206983626117632,97.828,1.7737687082047675,59.71,0.0001
24,0.19020268671400486,97.848,1.770933751847334,59.81,0.0001
25,0.1896537217816251,97.827,1.7747176633139325,59.68,0.0001
