arch,method,ratio,n,mean_acc,std_acc,mean_score_time_s,mean_total_time_s
resnet56,GRA-CNN,0.45,5,69.444,0.145,31.5167,174.02
resnet56,GRA-CNN,0.5,5,68.794,0.2626,0.0,0.0
resnet56,GRA-CNN,0.55,5,68.264,0.1484,31.1338,167.16
resnet56,GRA-CNN,0.6,5,67.47,0.0784,57.757,620.02
resnet56,GRA-CNN,0.65,5,66.834,0.1885,31.7391,166.92
resnet56,GRA-CNN,0.7,5,67.76,0.171,12.5204,356.34
resnet56,GRA-CNN,0.75,5,63.868,0.0898,31.5305,163.64
resnet56,GRA-CNN,0.8,5,61.486,0.1141,47.4397,494.48
resnet56,GRA-CNN,0.85,5,58.336,0.2235,31.383,192.88
resnet56,GRA-CNN,0.9,5,57.51,0.1576,13.2312,372.78
resnet56,CHIP,0.45,5,69.672,0.1945,21.1655,138.04
resnet56,CHIP,0.5,5,68.67,0.1669,26.289,305.02
resnet56,CHIP,0.55,5,67.856,0.1843,21.6578,131.28
resnet56,CHIP,0.6,5,67.362,0.2058,37.2628,604.76
resnet56,CHIP,0.65,5,66.168,0.0559,21.7695,129.78
resnet56,CHIP,0.7,5,67.248,0.2078,11.8022,359.58
resnet56,CHIP,0.75,5,63.286,0.1074,21.8088,126.52
resnet56,CHIP,0.8,5,60.992,0.1143,28.6088,554.36
resnet56,CHIP,0.85,5,57.518,0.1923,21.5924,156.96
resnet56,CHIP,0.9,5,56.972,0.089,13.2537,375.84
resnet56,L1,0.45,5,69.18,0.0644,0.0086,142.46
resnet56,L1,0.5,5,68.934,0.238,0.0,0.0
resnet56,L1,0.55,5,68.342,0.1479,0.0064,136.22
resnet56,L1,0.6,5,67.726,0.1376,0.0269,376.56
resnet56,L1,0.65,5,66.858,0.1256,0.0066,135.16
resnet56,L1,0.7,5,67.934,0.1481,0.0148,597.9
resnet56,L1,0.75,5,63.98,0.2314,0.0074,131.92
resnet56,L1,0.8,5,61.828,0.1499,0.0349,301.04
resnet56,L1,0.85,5,58.406,0.402,0.0074,160.62
resnet56,L1,0.9,5,57.474,0.2961,0.0079,395.2
resnet56,Taylor,0.45,5,69.09,0.0738,5.1518,121.68
resnet56,Taylor,0.5,5,68.832,0.1123,1.2455,288.78
resnet56,Taylor,0.55,5,67.954,0.0879,5.136,114.0
resnet56,Taylor,0.6,5,67.36,0.1453,1.5513,299.64
resnet56,Taylor,0.65,5,66.456,0.1264,5.0739,112.66
resnet56,Taylor,0.7,5,67.284,0.2402,0.5899,538.92
resnet56,Taylor,0.75,5,63.116,0.2343,5.0652,109.52
resnet56,Taylor,0.8,5,60.322,0.1863,1.3733,296.5
resnet56,Taylor,0.85,5,56.708,0.154,5.1265,140.16
resnet56,Taylor,0.9,5,56.008,0.3746,0.442,370.1
