ratio,baseline,n_pairs,baseline_mean,baseline_std,gra_mean,gra_std,delta_pp,delta_std,t_stat,p_t
0.7,CHIP,5,56.322,0.0653,56.668,0.1001,0.346,0.1115,6.939458,0.002265
0.7,L1,5,56.362,0.1616,56.668,0.1001,0.306,0.2042,3.351526,0.028528
0.7,Taylor,5,56.11,0.1512,56.668,0.1001,0.558,0.1633,7.640252,0.001576
0.7,FPGM,5,56.502,0.0572,56.668,0.1001,0.166,0.1332,2.787653,0.04943
0.7,HRank,5,56.324,0.1635,56.668,0.1001,0.344,0.1438,5.348946,0.00589
0.9,CHIP,5,50.042,0.1299,49.618,0.1574,-0.424,0.2142,-4.426283,0.011455
0.9,L1,5,49.374,0.0934,49.618,0.1574,0.244,0.0966,5.648511,0.004839
0.9,Taylor,5,48.022,0.1715,49.618,0.1574,1.596,0.316,11.292202,0.00035
0.9,FPGM,5,49.834,0.1889,49.618,0.1574,-0.216,0.1455,-3.318759,0.029413
0.9,HRank,5,46.57,0.7401,49.618,0.1574,3.048,0.6824,9.987593,0.000565
