ratio,method,n,mean_acc,std_acc,compression_ratio,param_reduction_pct
0.7,GRA-CNN,5,56.668,0.1001,3.1441,68.1948
0.7,CHIP,5,56.322,0.0653,3.1441,68.1948
0.7,L1,5,56.362,0.1616,3.1441,68.1948
0.7,Taylor,5,56.11,0.1512,3.1441,68.1948
0.7,FPGM,5,56.502,0.0572,3.1441,68.1948
0.7,HRank,5,56.324,0.1635,3.1441,68.1948
0.9,GRA-CNN,5,49.618,0.1574,8.1622,87.7484
0.9,CHIP,5,50.042,0.1299,8.1622,87.7484
0.9,L1,5,49.374,0.0934,8.1622,87.7484
0.9,Taylor,5,48.022,0.1715,8.1622,87.7484
0.9,FPGM,5,49.834,0.1889,8.1622,87.7484
0.9,HRank,5,46.57,0.7401,8.1622,87.7484
