architecture,dataset,method,ratio,n,seeds,mean_final_acc,std_final_acc,mean_baseline_acc,mean_delta_vs_baseline,mean_score_time_s
resnet56,cifar10,CHIP,0.7,5,"[42, 123, 456, 789, 1024]",89.49,0.1364,92.82,-3.33,26.3408
resnet56,cifar10,GRA-CNN,0.7,5,"[42, 123, 456, 789, 1024]",89.322,0.0811,92.82,-3.498,52.8154
resnet56,cifar10,Taylor,0.7,5,"[42, 123, 456, 789, 1024]",88.67,0.0381,92.82,-4.15,11.922
resnet56,cifar10,CHIP,0.9,5,"[42, 123, 456, 789, 1024]",81.556,0.2212,92.82,-11.264,24.0354
resnet56,cifar10,GRA-CNN,0.9,5,"[42, 123, 456, 789, 1024]",81.288,0.2207,92.82,-11.532,52.9867
resnet56,cifar10,Taylor,0.9,5,"[42, 123, 456, 789, 1024]",80.214,0.1555,92.82,-12.606,11.6356
resnet110,cifar100,CHIP,0.7,5,"[42, 123, 456, 789, 1024]",68.484,0.1804,73.27,-4.786,8089.5149
resnet110,cifar100,GRA-CNN,0.7,5,"[42, 123, 456, 789, 1024]",67.868,0.1141,73.27,-5.402,3818.483
resnet110,cifar100,L1,0.7,5,"[42, 123, 456, 789, 1024]",68.226,0.1854,73.27,-5.044,0.0137
resnet110,cifar100,Taylor,0.7,5,"[42, 123, 456, 789, 1024]",67.538,0.1564,73.27,-5.732,10.7108
resnet110,cifar100,CHIP,0.71,1,[999],53.37,0.0,73.27,-19.9,703.5058
resnet110,cifar100,CHIP,0.9,5,"[42, 123, 456, 789, 1024]",57.284,0.1378,73.27,-15.986,31.6746
resnet110,cifar100,GRA-CNN,0.9,5,"[42, 123, 456, 789, 1024]",57.422,0.2197,73.27,-15.848,56.8311
resnet110,cifar100,L1,0.9,5,"[42, 123, 456, 789, 1024]",57.212,0.2335,73.27,-16.058,0.0103
resnet110,cifar100,Taylor,0.9,5,"[42, 123, 456, 789, 1024]",55.244,0.2322,73.27,-18.026,10.2266
resnet56,cifar100,CHIP,0.6,5,"[42, 123, 456, 789, 1024]",67.362,0.2058,72.56,-5.198,37.2628
resnet56,cifar100,GRA-CNN,0.6,4,"[42, 123, 456, 1024]",67.4575,0.0846,72.56,-5.1025,55.3329
resnet56,cifar100,CHIP,0.7,5,"[42, 123, 456, 789, 1024]",67.248,0.2078,72.56,-5.312,11.8022
resnet56,cifar100,GRA-CNN,0.7,5,"[42, 123, 456, 789, 1024]",67.76,0.171,72.56,-4.8,12.5204
resnet56,cifar100,L1,0.7,5,"[42, 123, 456, 789, 1024]",67.934,0.1481,72.56,-4.626,0.0148
resnet56,cifar100,Taylor,0.7,5,"[42, 123, 456, 789, 1024]",67.284,0.2402,72.56,-5.276,0.5899
resnet56,cifar100,CHIP,0.8,5,"[42, 123, 456, 789, 1024]",60.992,0.1143,72.56,-11.568,28.6088
resnet56,cifar100,GRA-CNN,0.8,1,[123],61.41,0.0,72.56,-11.15,50.5767
resnet56,cifar100,CHIP,0.9,5,"[42, 123, 456, 789, 1024]",56.972,0.089,72.56,-15.588,13.2537
resnet56,cifar100,GRA-CNN,0.9,5,"[42, 123, 456, 789, 1024]",57.51,0.1576,72.56,-15.05,13.2312
resnet56,cifar100,L1,0.9,5,"[42, 123, 456, 789, 1024]",57.474,0.2961,72.56,-15.086,0.0079
resnet56,cifar100,Taylor,0.9,5,"[42, 123, 456, 789, 1024]",56.008,0.3746,72.56,-16.552,0.442
vgg16,cifar100,CHIP,0.7,5,"[42, 123, 456, 789, 1024]",64.43,0.1847,73.58,-9.15,43.1359
vgg16,cifar100,GRA-CNN,0.7,5,"[42, 123, 456, 789, 1024]",64.372,0.3503,73.58,-9.208,50.9015
vgg16,cifar100,L1,0.7,5,"[42, 123, 456, 789, 1024]",62.814,0.7029,73.58,-10.766,0.0034
vgg16,cifar100,Taylor,0.7,5,"[42, 123, 456, 789, 1024]",61.51,0.4849,73.58,-12.07,0.2444
vgg16,cifar100,CHIP,0.9,5,"[42, 123, 456, 789, 1024]",42.694,0.9614,73.58,-30.886,49.4604
vgg16,cifar100,GRA-CNN,0.9,5,"[42, 123, 456, 789, 1024]",42.842,0.3971,73.58,-30.738,53.7812
vgg16,cifar100,L1,0.9,5,"[42, 123, 456, 789, 1024]",17.256,22.293,73.58,-56.324,0.0035
vgg16,cifar100,Taylor,0.9,5,"[42, 123, 456, 789, 1024]",42.278,0.52,73.58,-31.302,0.2458
resnet18,tinyimagenet,CHIP,0.7,3,"[42, 123, 456]",56.34,0.0819,62.52,-6.18,134.8864
resnet18,tinyimagenet,GRA-CNN,0.7,3,"[42, 123, 456]",56.7267,0.0839,62.52,-5.7933,161.7557
resnet18,tinyimagenet,L1,0.7,3,"[42, 123, 456]",56.2767,0.155,62.52,-6.2433,0.0218
resnet18,tinyimagenet,CHIP,0.9,3,"[42, 123, 456]",50.0133,0.1115,62.52,-12.5067,5136.773
resnet18,tinyimagenet,GRA-CNN,0.9,3,"[42, 123, 456]",49.64,0.1967,62.52,-12.88,200.4589
resnet18,tinyimagenet,L1,0.9,3,"[42, 123, 456]",49.3533,0.125,62.52,-13.1667,0.0035
