architecture,dataset,method,role,nominal_ratio,actual_ratio,seed,baseline_acc,pruned_acc,final_acc,flops_before,flops_after,flops_reduction_pct,params_before,params_after,iso_flops_target,iso_flops_actual,iso_flops_ratio,iso_flops_error_pct,score_time_s,total_time_s,epochs,timestamp
resnet56,cifar100,CHIP,reference,0.7,0.7,42,72.56,2.03,65.0,251507200,78283264,68.87,861620,267224,78283264,78283264,1.0,0.0,22.27,348.4,30,2026-03-02T13:57:29.404968
resnet56,cifar100,CHIP,reference,0.7,0.7,123,72.56,2.03,64.42,251507200,78283264,68.87,861620,267224,78283264,78283264,1.0,0.0,10.52,295.8,30,2026-03-02T13:45:11.335664
resnet56,cifar100,CHIP,reference,0.7,0.7,456,72.56,2.03,64.56,251507200,78283264,68.87,861620,267224,78283264,78283264,1.0,0.0,12.59,288.8,30,2026-03-02T15:37:06.219646
resnet56,cifar100,CHIP,reference,0.7,0.7,789,72.56,2.03,64.45,251507200,78283264,68.87,861620,267224,78283264,78283264,1.0,0.0,20.46,436.1,30,2026-03-02T05:03:05.928854
resnet56,cifar100,CHIP,reference,0.7,0.7,1024,72.56,2.03,64.49,251507200,78283264,68.87,861620,267224,78283264,78283264,1.0,0.0,20.24,434.3,30,2026-03-02T06:00:02.353709
resnet56,cifar100,CHIP,reference,0.7,0.7,2048,72.56,2.03,64.62,251507200.0,78283264.0,68.87,861620.0,267224.0,78283264.0,78283264.0,1.0,0.0,23.76,454.2,30,2026-02-28T08:01:27.351281
resnet56,cifar100,CHIP,reference,0.7,0.7,4096,72.56,2.03,64.54,251507200.0,78283264.0,68.87,861620.0,267224.0,78283264.0,78283264.0,1.0,0.0,24.32,436.5,30,2026-02-28T08:33:34.459854
resnet56,cifar100,CHIP,reference,0.7,0.7,8192,72.56,2.03,64.54,251507200.0,78283264.0,68.87,861620.0,267224.0,78283264.0,78283264.0,1.0,0.0,22.36,456.4,30,2026-02-28T09:07:46.185055
resnet56,cifar100,CHIP,reference,0.7,0.7,16384,72.56,2.03,64.39,251507200.0,78283264.0,68.87,861620.0,267224.0,78283264.0,78283264.0,1.0,0.0,24.59,455.0,30,2026-02-28T09:40:20.697660
resnet56,cifar100,CHIP,reference,0.7,0.7,32768,72.56,2.03,65.09,251507200,78283264,68.87,861620,267224,78283264,78283264,1.0,0.0,20.55,427.9,30,2026-02-28T10:10:48.785609
resnet56,cifar100,GRA-CHIP-v3,matched,0.7,0.6969,2048,72.56,0.97,65.46,251507200.0,78283264.0,68.87,861620.0,267224.0,78283264.0,78283264.0,1.0,0.0,42.95,474.6,30,2026-02-28T08:09:21.914069
resnet56,cifar100,GRA-CHIP-v3,matched,0.7,0.6969,4096,72.56,0.97,65.33,251507200.0,78283264.0,68.87,861620.0,267224.0,78283264.0,78283264.0,1.0,0.0,42.56,475.8,30,2026-02-28T08:41:30.281451
resnet56,cifar100,GRA-CHIP-v3,matched,0.7,0.6969,8192,72.56,0.97,65.79,251507200.0,78283264.0,68.87,861620.0,267224.0,78283264.0,78283264.0,1.0,0.0,43.06,472.5,30,2026-02-28T09:15:38.668188
resnet56,cifar100,GRA-CHIP-v3,matched,0.7,0.6969,16384,72.56,0.97,65.55,251507200.0,78283264.0,68.87,861620.0,267224.0,78283264.0,78283264.0,1.0,0.0,40.02,446.0,30,2026-02-28T09:47:46.672105
resnet56,cifar100,GRA-CHIP-v3,matched,0.7,0.6969,32768,72.56,0.97,65.49,251507200,78283264,68.87,861620,267224,78283264,78283264,1.0,0.0,41.85,449.0,30,2026-02-28T10:18:17.754101
