architecture,dataset,ratio,method,seed,status,final_acc,compression_ratio,source_file,raw_method
resnet56,cifar100,0.5,GRA-CNN,42,done,69.0400,1.973100,C:\GRA-CNN\experiments\unified_results\resnet56_cifar100_GRA-v7_r0.5_s42.json,GRA-v7
resnet56,cifar100,0.5,GRA-CNN,123,done,68.9300,1.973100,C:\GRA-CNN\experiments\unified_results\resnet56_cifar100_GRA-v7_r0.5_s123.json,GRA-v7
resnet56,cifar100,0.5,GRA-CNN,456,done,68.7600,1.973100,C:\GRA-CNN\experiments\unified_results\resnet56_cifar100_GRA-v7_r0.5_s456.json,GRA-v7
resnet56,cifar100,0.5,GRA-CNN,789,done,68.3600,1.973100,C:\GRA-CNN\experiments\unified_results\resnet56_cifar100_GRA-v7_r0.5_s789.json,GRA-v7
resnet56,cifar100,0.5,GRA-CNN,1024,done,68.8800,1.973100,C:\GRA-CNN\experiments\unified_results\resnet56_cifar100_GRA-v7_r0.5_s1024.json,GRA-v7
resnet56,cifar100,0.5,CHIP,42,done,68.9000,1.973133,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_CHIP_r0.5_s42.json,CHIP
resnet56,cifar100,0.5,CHIP,123,done,68.4900,1.973133,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_CHIP_r0.5_s123.json,CHIP
resnet56,cifar100,0.5,CHIP,456,done,68.5300,1.973133,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_CHIP_r0.5_s456.json,CHIP
resnet56,cifar100,0.5,CHIP,789,done,68.7500,1.973133,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_CHIP_r0.5_s789.json,CHIP
resnet56,cifar100,0.5,CHIP,1024,done,68.6800,1.973133,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_CHIP_r0.5_s1024.json,CHIP
resnet56,cifar100,0.5,L1,42,done,69.3000,1.973100,C:\GRA-CNN\experiments\unified_results\resnet56_cifar100_L1_r0.5_s42.json,L1
resnet56,cifar100,0.5,L1,123,done,68.7300,1.973100,C:\GRA-CNN\experiments\unified_results\resnet56_cifar100_L1_r0.5_s123.json,L1
resnet56,cifar100,0.5,L1,456,done,69.0300,1.973100,C:\GRA-CNN\experiments\unified_results\resnet56_cifar100_L1_r0.5_s456.json,L1
resnet56,cifar100,0.5,L1,789,done,68.7400,1.973100,C:\GRA-CNN\experiments\unified_results\resnet56_cifar100_L1_r0.5_s789.json,L1
resnet56,cifar100,0.5,L1,1024,done,68.8700,1.973100,C:\GRA-CNN\experiments\unified_results\resnet56_cifar100_L1_r0.5_s1024.json,L1
resnet56,cifar100,0.5,Taylor,42,done,68.6900,1.973133,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_Taylor_r0.5_s42.json,Taylor
resnet56,cifar100,0.5,Taylor,123,done,68.9700,1.973133,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_Taylor_r0.5_s123.json,Taylor
resnet56,cifar100,0.5,Taylor,456,done,68.9100,1.973133,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_Taylor_r0.5_s456.json,Taylor
resnet56,cifar100,0.5,Taylor,789,done,68.7600,1.973133,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_Taylor_r0.5_s789.json,Taylor
resnet56,cifar100,0.5,Taylor,1024,done,68.8300,1.973133,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_Taylor_r0.5_s1024.json,Taylor
resnet56,cifar100,0.5,FPGM,42,done,68.5900,1.973100,C:\GRA-CNN\experiments\unified_results\resnet56_cifar100_FPGM_r0.5_s42.json,FPGM
resnet56,cifar100,0.5,FPGM,123,done,68.6500,1.973100,C:\GRA-CNN\experiments\unified_results\resnet56_cifar100_FPGM_r0.5_s123.json,FPGM
resnet56,cifar100,0.5,FPGM,456,done,68.7300,1.973100,C:\GRA-CNN\experiments\unified_results\resnet56_cifar100_FPGM_r0.5_s456.json,FPGM
resnet56,cifar100,0.5,FPGM,789,done,68.5800,1.973100,C:\GRA-CNN\experiments\unified_results\resnet56_cifar100_FPGM_r0.5_s789.json,FPGM
resnet56,cifar100,0.5,FPGM,1024,done,68.9200,1.973100,C:\GRA-CNN\experiments\unified_results\resnet56_cifar100_FPGM_r0.5_s1024.json,FPGM
resnet56,cifar100,0.5,HRank,42,done,68.9500,1.973100,C:\GRA-CNN\experiments\unified_results\resnet56_cifar100_HRank_r0.5_s42.json,HRank
resnet56,cifar100,0.5,HRank,123,done,68.4900,1.973100,C:\GRA-CNN\experiments\unified_results\resnet56_cifar100_HRank_r0.5_s123.json,HRank
resnet56,cifar100,0.5,HRank,456,done,68.8000,1.973100,C:\GRA-CNN\experiments\unified_results\resnet56_cifar100_HRank_r0.5_s456.json,HRank
resnet56,cifar100,0.5,HRank,789,done,68.7200,1.973100,C:\GRA-CNN\experiments\unified_results\resnet56_cifar100_HRank_r0.5_s789.json,HRank
resnet56,cifar100,0.5,HRank,1024,done,68.5200,1.973100,C:\GRA-CNN\experiments\unified_results\resnet56_cifar100_HRank_r0.5_s1024.json,HRank
resnet56,cifar100,0.6,GRA-CNN,42,done,67.4100,2.422363,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_GRA-CHIP-v3_r0.6_s42.json,GRA-CHIP-v3
resnet56,cifar100,0.6,GRA-CNN,123,done,67.3700,2.422363,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_GRA-CHIP-v3_r0.6_s123.json,GRA-CHIP-v3
resnet56,cifar100,0.6,GRA-CNN,456,done,67.5600,2.422363,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_GRA-CHIP-v3_r0.6_s456.json,GRA-CHIP-v3
resnet56,cifar100,0.6,GRA-CNN,789,done,67.5200,2.422363,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_GRA-CHIP-v3_r0.6_s789.json,GRA-CHIP-v3
resnet56,cifar100,0.6,GRA-CNN,1024,done,67.4900,2.422363,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_GRA-CHIP-v3_r0.6_s1024.json,GRA-CHIP-v3
resnet56,cifar100,0.6,CHIP,42,done,67.1900,2.422363,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_CHIP_r0.6_s42.json,CHIP
resnet56,cifar100,0.6,CHIP,123,done,67.5500,2.422363,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_CHIP_r0.6_s123.json,CHIP
resnet56,cifar100,0.6,CHIP,456,done,67.6200,2.422363,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_CHIP_r0.6_s456.json,CHIP
resnet56,cifar100,0.6,CHIP,789,done,67.2100,2.422363,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_CHIP_r0.6_s789.json,CHIP
resnet56,cifar100,0.6,CHIP,1024,done,67.2400,2.422363,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_CHIP_r0.6_s1024.json,CHIP
resnet56,cifar100,0.6,L1,42,done,67.7700,2.422363,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_L1_r0.6_s42.json,L1
resnet56,cifar100,0.6,L1,123,done,67.7400,2.422363,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_L1_r0.6_s123.json,L1
resnet56,cifar100,0.6,L1,456,done,67.8900,2.422363,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_L1_r0.6_s456.json,L1
resnet56,cifar100,0.6,L1,789,done,67.7200,2.422363,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_L1_r0.6_s789.json,L1
resnet56,cifar100,0.6,L1,1024,done,67.5100,2.422363,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_L1_r0.6_s1024.json,L1
resnet56,cifar100,0.6,Taylor,42,done,67.2900,2.422363,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_Taylor_r0.6_s42.json,Taylor
resnet56,cifar100,0.6,Taylor,123,done,67.1700,2.422363,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_Taylor_r0.6_s123.json,Taylor
