comparison,architecture,dataset,ratio,n_pairs,mean_diff,p_t,p_holm,significant_holm_p05,direction
GRA-CNN_vs_CHIP,resnet110,cifar100,0.7,5,-0.616,0.006777,0.115213,False,negative
GRA-CNN_vs_CHIP,resnet110,cifar100,0.9,5,0.138,0.141422,0.769779,False,positive
GRA-CNN_vs_CHIP,resnet18,tinyimagenet,0.7,3,0.3867,0.036739,0.404127,False,positive
GRA-CNN_vs_CHIP,resnet18,tinyimagenet,0.9,3,-0.3733,0.150344,0.769779,False,negative
GRA-CNN_vs_CHIP,resnet56,cifar10,0.7,5,-0.168,0.027847,0.334163,False,negative
GRA-CNN_vs_CHIP,resnet56,cifar10,0.9,5,-0.268,0.197143,0.769779,False,negative
GRA-CNN_vs_CHIP,resnet56,cifar100,0.6,4,0.0575,0.623783,0.769779,False,positive
GRA-CNN_vs_CHIP,resnet56,cifar100,0.7,5,0.512,0.000614,0.011665,True,positive
GRA-CNN_vs_CHIP,resnet56,cifar100,0.9,5,0.538,0.002006,0.036105,True,positive
GRA-CNN_vs_CHIP,vgg16,cifar100,0.7,5,-0.058,0.708746,0.769779,False,negative
GRA-CNN_vs_CHIP,vgg16,cifar100,0.9,5,0.148,0.769779,0.769779,False,positive
GRA-CNN_vs_L1,resnet110,cifar100,0.7,5,-0.358,0.00857,0.128553,False,negative
GRA-CNN_vs_L1,resnet110,cifar100,0.9,5,0.21,0.175347,0.769779,False,positive
GRA-CNN_vs_L1,resnet18,tinyimagenet,0.7,3,0.45,0.008451,0.128553,False,positive
GRA-CNN_vs_L1,resnet18,tinyimagenet,0.9,3,0.2867,0.021336,0.298706,False,positive
GRA-CNN_vs_L1,resnet56,cifar100,0.7,5,-0.174,0.180243,0.769779,False,negative
GRA-CNN_vs_L1,resnet56,cifar100,0.9,5,0.036,0.745206,0.769779,False,positive
GRA-CNN_vs_L1,vgg16,cifar100,0.7,5,1.558,0.025052,0.325675,False,positive
GRA-CNN_vs_L1,vgg16,cifar100,0.9,5,25.586,0.061597,0.615971,False,positive
