architecture,dataset,method,ratio,n,seeds,mean_final_acc,std_final_acc,mean_baseline_acc,mean_delta_vs_baseline,mean_score_time_s
resnet56,cifar100,GRA-CNN,0.6,4,"[42, 123, 456, 1024]",67.4575,0.0846,72.56,-5.1025,55.3329
resnet56,cifar100,CHIP,0.6,5,"[42, 123, 456, 789, 1024]",67.362,0.2058,72.56,-5.198,37.2628
resnet56,cifar100,GRA-CNN,0.7,5,"[42, 123, 456, 789, 1024]",67.76,0.171,72.56,-4.8,12.5204
resnet56,cifar100,CHIP,0.7,5,"[42, 123, 456, 789, 1024]",67.248,0.2078,72.56,-5.312,11.8022
resnet56,cifar100,L1,0.7,5,"[42, 123, 456, 789, 1024]",67.934,0.1481,72.56,-4.626,0.0148
resnet56,cifar100,Taylor,0.7,5,"[42, 123, 456, 789, 1024]",67.284,0.2402,72.56,-5.276,0.5899
resnet56,cifar100,GRA-CNN,0.8,1,[123],61.41,0.0,72.56,-11.15,50.5767
resnet56,cifar100,CHIP,0.8,5,"[42, 123, 456, 789, 1024]",60.992,0.1143,72.56,-11.568,28.6088
resnet56,cifar100,GRA-CNN,0.9,5,"[42, 123, 456, 789, 1024]",57.51,0.1576,72.56,-15.05,13.2312
resnet56,cifar100,CHIP,0.9,5,"[42, 123, 456, 789, 1024]",56.972,0.089,72.56,-15.588,13.2537
resnet56,cifar100,L1,0.9,5,"[42, 123, 456, 789, 1024]",57.474,0.2961,72.56,-15.086,0.0079
resnet56,cifar100,Taylor,0.9,5,"[42, 123, 456, 789, 1024]",56.008,0.3746,72.56,-16.552,0.442
