architecture,dataset,ratio,n_pairs,mean_chip,mean_gra,delta_gra_minus_chip,p_t,p_wilcoxon,cohen_dz,ci95_low,ci95_high
resnet110,cifar100,0.7,5,68.484,67.868,-0.616,0.006777,0.0625,-2.3,-0.9485,-0.2835
resnet110,cifar100,0.9,5,57.284,57.422,0.138,0.141422,0.25,0.8179,-0.0715,0.3475
resnet18,tinyimagenet,0.7,5,56.322,56.668,0.346,0.002265,0.0625,3.1034,0.2076,0.4844
resnet18,tinyimagenet,0.9,3,50.0133,49.64,-0.3733,0.150344,0.25,-1.3156,-1.0783,0.3316
resnet56,cifar10,0.7,5,89.49,89.322,-0.168,0.027847,0.0625,-1.5105,-0.3061,-0.0299
resnet56,cifar10,0.9,5,81.556,81.288,-0.268,0.197143,0.3125,-0.6911,-0.7495,0.2135
resnet56,cifar100,0.6,5,67.362,67.47,0.108,0.323941,0.3125,0.5026,-0.1588,0.3748
resnet56,cifar100,0.7,5,67.248,67.76,0.512,0.000614,0.0625,4.3711,0.3666,0.6574
resnet56,cifar100,0.8,5,60.992,61.486,0.494,0.004287,0.0625,2.6116,0.2591,0.7289
resnet56,cifar100,0.9,5,56.972,57.51,0.538,0.002006,0.0625,3.2054,0.3296,0.7464
vgg16,cifar100,0.7,5,64.43,64.372,-0.058,0.708746,0.8125,-0.1794,-0.4593,0.3433
vgg16,cifar100,0.9,5,42.694,42.842,0.148,0.769779,1.0,0.1401,-1.164,1.46
