architecture,dataset,ratio,baseline,n,gra_mean,base_mean,diff_mean,ttest_p,wilcoxon_p,perm_p,holm_p,cohens_d,hedges_g,boot_ci_lo,boot_ci_hi,shapiro_W,shapiro_p,winner
resnet110,cifar100,0.7,CHIP,5,67.868,68.484,-0.616,0.006777,0.0625,0.060994,0.176209,-2.3,-1.84,-0.802,-0.398,0.8996,0.4079,tie
resnet110,cifar100,0.7,FPGM,0,,,,,,,,,,,,,,insufficient
resnet110,cifar100,0.7,HRank,0,,,,,,,,,,,,,,insufficient
resnet110,cifar100,0.7,L1,5,67.868,68.226,-0.358,0.00857,0.0625,0.060994,0.211283,-2.1522,-1.7217,-0.466,-0.21,0.8112,0.0997,tie
resnet110,cifar100,0.7,Taylor,5,67.868,67.538,0.33,0.022227,0.0625,0.060994,0.426723,1.6219,1.2975,0.184,0.504,0.9687,0.8672,tie
resnet110,cifar100,0.9,CHIP,5,57.422,57.284,0.138,0.141422,0.25,0.248875,1.0,0.8179,0.6543,0.0138,0.272,0.8663,0.2517,tie
resnet110,cifar100,0.9,FPGM,0,,,,,,,,,,,,,,insufficient
resnet110,cifar100,0.9,HRank,0,,,,,,,,,,,,,,insufficient
resnet110,cifar100,0.9,L1,5,57.422,57.212,0.21,0.175347,0.25,0.245975,1.0,0.7356,0.5885,-0.008,0.434,0.8608,0.2313,tie
resnet110,cifar100,0.9,Taylor,5,57.422,55.244,2.178,8e-06,0.0625,0.060994,0.000334,13.2377,10.5902,2.04,2.286,0.8767,0.2948,GRA
resnet18,tinyimagenet,0.7,CHIP,3,56.7267,56.34,0.3867,0.036739,0.25,0.252775,0.587822,2.9285,1.6734,0.27,0.53,0.9694,0.6642,tie
resnet18,tinyimagenet,0.7,FPGM,3,56.7267,56.4767,0.25,0.040588,0.25,0.252775,0.587822,2.7778,1.5873,0.16,0.34,1.0,1.0,tie
resnet18,tinyimagenet,0.7,HRank,3,56.7267,56.3967,0.33,0.095692,0.25,0.252775,0.956924,1.7297,0.9884,0.21,0.55,0.794,0.1001,tie
resnet18,tinyimagenet,0.7,L1,3,56.7267,56.2767,0.45,0.008451,0.25,0.252775,0.211283,6.2404,3.5659,0.39,0.53,0.9423,0.5367,tie
resnet18,tinyimagenet,0.7,Taylor,0,,,,,,,,,,,,,,insufficient
resnet18,tinyimagenet,0.9,CHIP,3,49.64,50.0133,-0.3733,0.150344,0.25,0.252775,1.0,-1.3156,-0.7517,-0.68,-0.12,0.9735,0.6878,tie
resnet18,tinyimagenet,0.9,FPGM,0,,,,,,,,,,,,,,insufficient
resnet18,tinyimagenet,0.9,HRank,0,,,,,,,,,,,,,,insufficient
resnet18,tinyimagenet,0.9,L1,3,49.64,49.3533,0.2867,0.021336,0.25,0.252775,0.426723,3.8891,2.2223,0.23,0.37,0.9018,0.3914,tie
resnet18,tinyimagenet,0.9,Taylor,0,,,,,,,,,,,,,,insufficient
resnet56,cifar10,0.7,CHIP,5,89.322,89.49,-0.168,0.027847,0.0625,0.060994,0.473398,-1.5105,-1.2084,-0.262,-0.086,0.8829,0.3226,tie
resnet56,cifar10,0.7,FPGM,0,,,,,,,,,,,,,,insufficient
resnet56,cifar10,0.7,HRank,0,,,,,,,,,,,,,,insufficient
resnet56,cifar10,0.7,L1,0,,,,,,,,,,,,,,insufficient
resnet56,cifar10,0.7,Taylor,5,89.322,88.67,0.652,0.000188,0.0625,0.060994,0.006952,5.9224,4.7379,0.57,0.74,0.9756,0.9097,GRA
resnet56,cifar10,0.9,CHIP,5,81.288,81.556,-0.268,0.197143,0.3125,0.251575,1.0,-0.6911,-0.5529,-0.508,0.064,0.7956,0.0745,tie
resnet56,cifar10,0.9,FPGM,0,,,,,,,,,,,,,,insufficient
resnet56,cifar10,0.9,HRank,0,,,,,,,,,,,,,,insufficient
resnet56,cifar10,0.9,L1,0,,,,,,,,,,,,,,insufficient
resnet56,cifar10,0.9,Taylor,5,81.288,80.214,1.074,2.1e-05,0.0625,0.060994,0.000865,10.2965,8.2372,0.998,1.158,0.9355,0.634,GRA
resnet56,cifar100,0.6,CHIP,5,67.47,67.362,0.108,0.323941,0.3125,0.312469,1.0,0.5026,0.4021,-0.07,0.268,0.8685,0.2604,tie
resnet56,cifar100,0.6,FPGM,5,67.47,68.022,-0.552,0.000665,0.0625,0.060994,0.021943,-4.2818,-3.4254,-0.67,-0.472,0.7516,0.0308,FPGM
resnet56,cifar100,0.6,HRank,5,67.47,66.746,0.724,2.2e-05,0.0625,0.060994,0.00089,10.158,8.1264,0.66,0.768,0.7623,0.0386,GRA
resnet56,cifar100,0.6,L1,5,67.47,67.726,-0.256,0.018198,0.0625,0.060994,0.38216,-1.7248,-1.3798,-0.358,-0.126,0.8349,0.1513,tie
resnet56,cifar100,0.6,Taylor,5,67.47,67.36,0.11,0.085353,0.25,0.245975,0.938879,1.017,0.8136,0.024,0.196,0.8645,0.2447,tie
resnet56,cifar100,0.7,CHIP,5,67.76,67.248,0.512,0.000614,0.0625,0.060994,0.020874,4.3711,3.4969,0.42,0.604,0.8906,0.3601,GRA
resnet56,cifar100,0.7,FPGM,5,67.76,65.726,2.034,0.0,0.0625,0.060994,9e-06,33.304,26.6432,1.992,2.082,0.9397,0.6641,GRA
resnet56,cifar100,0.7,HRank,5,67.76,64.458,3.302,7e-06,0.0625,0.060994,0.000294,13.7381,10.9905,3.138,3.5,0.9003,0.4115,GRA
resnet56,cifar100,0.7,L1,5,67.76,67.934,-0.174,0.180243,0.25,0.248875,1.0,-0.7251,-0.5801,-0.376,-0.012,0.8984,0.4013,tie
resnet56,cifar100,0.7,Taylor,5,67.76,67.284,0.476,0.040508,0.0625,0.060994,0.587822,1.3353,1.0682,0.202,0.746,0.8141,0.1051,tie
resnet56,cifar100,0.8,CHIP,5,61.486,60.992,0.494,0.004287,0.0625,0.060994,0.11574,2.6116,2.0893,0.34,0.646,0.9398,0.6642,tie
resnet56,cifar100,0.8,FPGM,5,61.486,61.112,0.374,0.015897,0.0625,0.060994,0.357256,1.7967,1.4374,0.214,0.548,0.9342,0.6252,tie
resnet56,cifar100,0.8,HRank,5,61.486,60.384,1.102,9.8e-05,0.0625,0.060994,0.003737,6.9808,5.5847,0.962,1.198,0.7884,0.065,GRA
resnet56,cifar100,0.8,L1,5,61.486,61.828,-0.342,0.037176,0.125,0.124788,0.587822,-1.3744,-1.0995,-0.518,-0.134,0.8781,0.3009,tie
resnet56,cifar100,0.8,Taylor,5,61.486,60.322,1.164,0.000748,0.0625,0.060994,0.023541,4.1524,3.3219,0.94,1.382,0.9807,0.9385,GRA
resnet56,cifar100,0.9,CHIP,5,57.51,56.972,0.538,0.002006,0.0625,0.060994,0.056164,3.2054,2.5644,0.404,0.66,0.9657,0.847,tie
resnet56,cifar100,0.9,FPGM,5,57.51,50.358,7.152,4e-06,0.0625,0.060994,0.000183,15.5729,12.4583,6.756,7.444,0.8263,0.1304,GRA
resnet56,cifar100,0.9,HRank,5,57.51,47.428,10.082,1.5e-05,0.0625,0.060994,0.000625,11.2414,8.9931,9.414,10.848,0.9739,0.8994,GRA
resnet56,cifar100,0.9,L1,5,57.51,57.474,0.036,0.745206,1.0,0.877812,1.0,0.1557,0.1246,-0.146,0.208,0.958,0.7937,tie
resnet56,cifar100,0.9,Taylor,5,57.51,56.008,1.502,0.000951,0.0625,0.060994,0.028533,3.9014,3.1211,1.184,1.802,0.9728,0.8928,GRA
vgg16,cifar100,0.7,CHIP,5,64.372,64.43,-0.058,0.708746,0.8125,0.747125,1.0,-0.1794,-0.1436,-0.28,0.206,0.9302,0.5977,tie
vgg16,cifar100,0.7,FPGM,5,64.372,57.686,6.686,0.000407,0.0625,0.060994,0.014658,4.8593,3.8875,5.564,7.696,0.9629,0.8283,GRA
vgg16,cifar100,0.7,HRank,5,64.372,59.56,4.812,0.000736,0.0625,0.060994,0.023541,4.171,3.3368,3.99,5.838,0.922,0.5428,GRA
vgg16,cifar100,0.7,L1,5,64.372,62.814,1.558,0.025052,0.0625,0.060994,0.450935,1.5622,1.2497,0.888,2.434,0.8211,0.1191,tie
vgg16,cifar100,0.7,Taylor,5,64.372,61.51,2.862,0.001407,0.0625,0.060994,0.040792,3.5211,2.8169,2.268,3.546,0.9099,0.4672,GRA
vgg16,cifar100,0.9,CHIP,5,42.842,42.694,0.148,0.769779,1.0,0.811519,1.0,0.1401,0.1121,-0.634,0.946,0.9767,0.9161,tie
vgg16,cifar100,0.9,FPGM,5,42.842,34.518,8.324,0.000525,0.0625,0.060994,0.018382,4.551,3.6408,6.874,9.774,0.875,0.2873,GRA
vgg16,cifar100,0.9,HRank,5,42.842,35.518,7.324,8.6e-05,0.0625,0.060994,0.003365,7.2161,5.7729,6.508,8.11,0.9934,0.9901,GRA
vgg16,cifar100,0.9,L1,5,42.842,17.256,25.586,0.061597,0.125,0.123088,0.739165,1.152,0.9216,8.712,41.9,0.7223,0.0162,tie
vgg16,cifar100,0.9,Taylor,5,42.842,42.278,0.564,0.015533,0.0625,0.060994,0.357256,1.8092,1.4474,0.33,0.798,0.9388,0.6572,tie
