architecture,dataset,ratio,method,n,seeds,mean_final_acc,std_final_acc
resnet110,cifar100,0.7,CHIP,5,"[42, 123, 456, 789, 1024]",68.484,0.1804
resnet110,cifar100,0.7,GRA-CNN,5,"[42, 123, 456, 789, 1024]",67.868,0.1141
resnet110,cifar100,0.7,L1,5,"[42, 123, 456, 789, 1024]",68.226,0.1854
resnet110,cifar100,0.7,Taylor,5,"[42, 123, 456, 789, 1024]",67.538,0.1564
resnet110,cifar100,0.71,CHIP,1,[999],53.37,0.0
resnet110,cifar100,0.9,CHIP,5,"[42, 123, 456, 789, 1024]",57.284,0.1378
resnet110,cifar100,0.9,GRA-CNN,5,"[42, 123, 456, 789, 1024]",57.422,0.2197
resnet110,cifar100,0.9,L1,5,"[42, 123, 456, 789, 1024]",57.212,0.2335
resnet110,cifar100,0.9,Taylor,5,"[42, 123, 456, 789, 1024]",55.244,0.2322
resnet18,tinyimagenet,0.7,CHIP,5,"[42, 123, 456, 789, 1024]",56.322,0.0653
resnet18,tinyimagenet,0.7,FPGM,5,"[42, 123, 456, 789, 1024]",56.502,0.0572
resnet18,tinyimagenet,0.7,GRA-CNN,5,"[42, 123, 456, 789, 1024]",56.668,0.1001
resnet18,tinyimagenet,0.7,HRank,5,"[42, 123, 456, 789, 1024]",56.324,0.1635
resnet18,tinyimagenet,0.7,L1,5,"[42, 123, 456, 789, 1024]",56.362,0.1616
resnet18,tinyimagenet,0.7,Taylor,2,"[789, 1024]",56.05,0.2687
resnet18,tinyimagenet,0.9,CHIP,3,"[42, 123, 456]",50.0133,0.1115
resnet18,tinyimagenet,0.9,GRA-CNN,3,"[42, 123, 456]",49.64,0.1967
resnet18,tinyimagenet,0.9,L1,3,"[42, 123, 456]",49.3533,0.125
resnet56,cifar10,0.7,CHIP,5,"[42, 123, 456, 789, 1024]",89.49,0.1364
resnet56,cifar10,0.7,GRA-CNN,5,"[42, 123, 456, 789, 1024]",89.322,0.0811
resnet56,cifar10,0.7,Taylor,5,"[42, 123, 456, 789, 1024]",88.67,0.0381
resnet56,cifar10,0.9,CHIP,5,"[42, 123, 456, 789, 1024]",81.556,0.2212
resnet56,cifar10,0.9,GRA-CNN,5,"[42, 123, 456, 789, 1024]",81.288,0.2207
resnet56,cifar10,0.9,Taylor,5,"[42, 123, 456, 789, 1024]",80.214,0.1555
resnet56,cifar100,0.6,CHIP,5,"[42, 123, 456, 789, 1024]",67.362,0.2058
resnet56,cifar100,0.6,FPGM,5,"[42, 123, 456, 789, 1024]",68.022,0.096
resnet56,cifar100,0.6,GRA-CNN,5,"[42, 123, 456, 789, 1024]",67.47,0.0784
resnet56,cifar100,0.6,HRank,5,"[42, 123, 456, 789, 1024]",66.746,0.094
resnet56,cifar100,0.6,L1,5,"[42, 123, 456, 789, 1024]",67.726,0.1376
resnet56,cifar100,0.6,Taylor,5,"[42, 123, 456, 789, 1024]",67.36,0.1453
resnet56,cifar100,0.7,CHIP,5,"[42, 123, 456, 789, 1024]",67.248,0.2078
resnet56,cifar100,0.7,FPGM,5,"[42, 123, 456, 789, 1024]",65.726,0.1309
resnet56,cifar100,0.7,GRA-CHIP-v2,3,"[42, 123, 456]",65.82,3.6203
resnet56,cifar100,0.7,GRA-CHIP-v3-noBoundary,1,[42],67.6,0.0
resnet56,cifar100,0.7,GRA-CHIP-v3-noCA,1,[42],67.36,0.0
resnet56,cifar100,0.7,GRA-CHIP-v3-noGate,1,[42],67.99,0.0
resnet56,cifar100,0.7,GRA-CHIP-v3.1,3,"[42, 123, 456]",67.6133,0.0814
resnet56,cifar100,0.7,GRA-CHIP-v3.2,3,"[42, 123, 456]",67.6,0.07
resnet56,cifar100,0.7,GRA-CHIP-v4,2,"[42, 123]",67.595,0.1061
resnet56,cifar100,0.7,GRA-CHIP-v4-noMargin,1,[42],67.91,0.0
resnet56,cifar100,0.7,GRA-CHIP-v4C,3,"[42, 123, 456]",67.3833,0.2003
resnet56,cifar100,0.7,GRA-CHIP-v4C-fixedBudget,1,[42],67.15,0.0
resnet56,cifar100,0.7,GRA-CHIP-v4C-noProtect,3,"[42, 123, 456]",67.8333,0.2421
resnet56,cifar100,0.7,GRA-CNN,5,"[42, 123, 456, 789, 1024]",67.76,0.171
resnet56,cifar100,0.7,HRank,5,"[42, 123, 456, 789, 1024]",64.458,0.1687
resnet56,cifar100,0.7,L1,5,"[42, 123, 456, 789, 1024]",67.934,0.1481
resnet56,cifar100,0.7,Taylor,5,"[42, 123, 456, 789, 1024]",67.284,0.2402
resnet56,cifar100,0.8,CHIP,5,"[42, 123, 456, 789, 1024]",60.992,0.1143
resnet56,cifar100,0.8,FPGM,5,"[42, 123, 456, 789, 1024]",61.112,0.209
resnet56,cifar100,0.8,GRA-CNN,5,"[42, 123, 456, 789, 1024]",61.486,0.1141
resnet56,cifar100,0.8,HRank,5,"[42, 123, 456, 789, 1024]",60.384,0.2026
resnet56,cifar100,0.8,L1,5,"[42, 123, 456, 789, 1024]",61.828,0.1499
resnet56,cifar100,0.8,Taylor,5,"[42, 123, 456, 789, 1024]",60.322,0.1863
resnet56,cifar100,0.9,CHIP,5,"[42, 123, 456, 789, 1024]",56.972,0.089
resnet56,cifar100,0.9,FPGM,5,"[42, 123, 456, 789, 1024]",50.358,0.4123
resnet56,cifar100,0.9,GRA-CHIP-v3-noBoundary,1,[42],57.19,0.0
resnet56,cifar100,0.9,GRA-CHIP-v3-noCA,1,[42],57.37,0.0
resnet56,cifar100,0.9,GRA-CHIP-v3-noGate,1,[42],57.53,0.0
resnet56,cifar100,0.9,GRA-CHIP-v3.1,3,"[42, 123, 456]",57.22,0.3381
resnet56,cifar100,0.9,GRA-CHIP-v3.2,3,"[42, 123, 456]",57.5,0.0721
resnet56,cifar100,0.9,GRA-CHIP-v4C,3,"[42, 123, 456]",55.99,0.1732
resnet56,cifar100,0.9,GRA-CHIP-v4C-fixedBudget,1,[42],56.09,0.0
resnet56,cifar100,0.9,GRA-CHIP-v4C-noProtect,1,[42],57.08,0.0
resnet56,cifar100,0.9,GRA-CNN,5,"[42, 123, 456, 789, 1024]",57.51,0.1576
resnet56,cifar100,0.9,HRank,5,"[42, 123, 456, 789, 1024]",47.428,0.8856
resnet56,cifar100,0.9,L1,5,"[42, 123, 456, 789, 1024]",57.474,0.2961
resnet56,cifar100,0.9,Taylor,5,"[42, 123, 456, 789, 1024]",56.008,0.3746
vgg16,cifar100,0.7,CHIP,5,"[42, 123, 456, 789, 1024]",64.43,0.1847
vgg16,cifar100,0.7,FPGM,5,"[42, 123, 456, 789, 1024]",57.686,1.063
vgg16,cifar100,0.7,GRA-CHIP-v2,3,"[42, 123, 456]",63.8967,0.1286
vgg16,cifar100,0.7,GRA-CHIP-v3-noBoundary,1,[42],64.29,0.0
vgg16,cifar100,0.7,GRA-CHIP-v3-noCA,1,[42],63.94,0.0
vgg16,cifar100,0.7,GRA-CHIP-v3-noGate,1,[42],63.82,0.0
vgg16,cifar100,0.7,GRA-CHIP-v3.1,3,"[42, 123, 456]",64.1633,0.3508
vgg16,cifar100,0.7,GRA-CHIP-v3.2,3,"[42, 123, 456]",64.1633,0.3508
vgg16,cifar100,0.7,GRA-CHIP-v4,1,[42],63.92,0.0
vgg16,cifar100,0.7,GRA-CHIP-v4C,3,"[42, 123, 456]",64.5233,0.0451
vgg16,cifar100,0.7,GRA-CHIP-v4C-fixedBudget,1,[42],65.17,0.0
vgg16,cifar100,0.7,GRA-CHIP-v4C-noProtect,3,"[42, 123, 456]",64.1233,0.4365
vgg16,cifar100,0.7,GRA-CNN,5,"[42, 123, 456, 789, 1024]",64.372,0.3503
vgg16,cifar100,0.7,HRank,5,"[42, 123, 456, 789, 1024]",59.56,0.9685
vgg16,cifar100,0.7,L1,5,"[42, 123, 456, 789, 1024]",62.814,0.7029
vgg16,cifar100,0.7,Taylor,5,"[42, 123, 456, 789, 1024]",61.51,0.4849
vgg16,cifar100,0.9,CHIP,5,"[42, 123, 456, 789, 1024]",42.694,0.9614
vgg16,cifar100,0.9,FPGM,5,"[42, 123, 456, 789, 1024]",34.518,1.7066
vgg16,cifar100,0.9,GRA-CHIP-v3-noBoundary,1,[42],42.96,0.0
vgg16,cifar100,0.9,GRA-CHIP-v3-noCA,1,[42],42.54,0.0
vgg16,cifar100,0.9,GRA-CHIP-v3-noGate,1,[42],43.26,0.0
vgg16,cifar100,0.9,GRA-CHIP-v3.1,3,"[42, 123, 456]",42.7233,0.6213
vgg16,cifar100,0.9,GRA-CHIP-v3.2,3,"[42, 123, 456]",42.7233,0.6213
vgg16,cifar100,0.9,GRA-CHIP-v4C,3,"[42, 123, 456]",42.3833,0.1595
vgg16,cifar100,0.9,GRA-CHIP-v4C-fixedBudget,1,[42],42.98,0.0
vgg16,cifar100,0.9,GRA-CHIP-v4C-noProtect,1,[42],42.98,0.0
vgg16,cifar100,0.9,GRA-CNN,5,"[42, 123, 456, 789, 1024]",42.842,0.3971
vgg16,cifar100,0.9,HRank,5,"[42, 123, 456, 789, 1024]",35.518,0.7086
vgg16,cifar100,0.9,L1,5,"[42, 123, 456, 789, 1024]",17.256,22.293
vgg16,cifar100,0.9,Taylor,5,"[42, 123, 456, 789, 1024]",42.278,0.52
