architecture,dataset,method,target_ratio,n_seeds,seeds,mean_acc,std_acc,baseline_acc,delta_vs_baseline,mean_score_time_s
resnet56,cifar100,CHIP,0.7,3,"[42, 123, 456]",67.38,0.12,72.56,-5.18,12.19
resnet56,cifar100,CHIP,0.9,3,"[42, 123, 456]",56.99,0.07,72.56,-15.57,16.12
resnet56,cifar100,GRA-CHIP-v2,0.7,3,"[42, 123, 456]",65.82,2.96,72.56,-6.74,18.13
resnet56,cifar100,GRA-CHIP-v3,0.7,3,"[42, 123, 456]",67.85,0.1,72.56,-4.71,13.37
resnet56,cifar100,GRA-CHIP-v3,0.9,3,"[42, 123, 456]",57.61,0.08,72.56,-14.95,15.53
resnet56,cifar100,GRA-CHIP-v3-noBoundary,0.7,1,[42],67.6,0.0,72.56,-4.96,14.76
resnet56,cifar100,GRA-CHIP-v3-noBoundary,0.9,1,[42],57.19,0.0,72.56,-15.37,29.58
resnet56,cifar100,GRA-CHIP-v3-noCA,0.7,1,[42],67.36,0.0,72.56,-5.2,13.79
resnet56,cifar100,GRA-CHIP-v3-noCA,0.9,1,[42],57.37,0.0,72.56,-15.19,27.5
resnet56,cifar100,GRA-CHIP-v3-noGate,0.7,1,[42],67.99,0.0,72.56,-4.57,12.6
resnet56,cifar100,GRA-CHIP-v3-noGate,0.9,1,[42],57.53,0.0,72.56,-15.03,27.36
resnet56,cifar100,L1,0.7,3,"[42, 123, 456]",67.97,0.0,72.56,-4.59,0.01
resnet56,cifar100,L1,0.9,3,"[42, 123, 456]",57.64,0.19,72.56,-14.92,0.01
resnet56,cifar100,Taylor,0.7,3,"[42, 123, 456]",67.3,0.22,72.56,-5.26,0.49
resnet56,cifar100,Taylor,0.9,3,"[42, 123, 456]",56.11,0.39,72.56,-16.45,0.48
vgg16,cifar100,CHIP,0.7,3,"[42, 123, 456]",64.34,0.0,73.58,-9.24,50.9
vgg16,cifar100,CHIP,0.9,3,"[42, 123, 456]",42.82,1.09,73.58,-30.76,61.46
vgg16,cifar100,GRA-CHIP-v2,0.7,3,"[42, 123, 456]",63.9,0.1,73.58,-9.68,63.5
vgg16,cifar100,GRA-CHIP-v3,0.7,3,"[42, 123, 456]",64.15,0.18,73.58,-9.43,59.76
vgg16,cifar100,GRA-CHIP-v3,0.9,3,"[42, 123, 456]",42.78,0.44,73.58,-30.8,64.46
vgg16,cifar100,GRA-CHIP-v3-noBoundary,0.7,1,[42],64.29,0.0,73.58,-9.29,48.06
vgg16,cifar100,GRA-CHIP-v3-noBoundary,0.9,1,[42],42.96,0.0,73.58,-30.62,107.86
vgg16,cifar100,GRA-CHIP-v3-noCA,0.7,1,[42],63.94,0.0,73.58,-9.64,69.51
vgg16,cifar100,GRA-CHIP-v3-noCA,0.9,1,[42],42.54,0.0,73.58,-31.04,119.85
vgg16,cifar100,GRA-CHIP-v3-noGate,0.7,1,[42],63.82,0.0,73.58,-9.76,54.24
vgg16,cifar100,GRA-CHIP-v3-noGate,0.9,1,[42],43.26,0.0,73.58,-30.32,115.42
vgg16,cifar100,L1,0.7,3,"[42, 123, 456]",63.25,0.14,73.58,-10.33,0.0
vgg16,cifar100,L1,0.9,3,"[42, 123, 456]",1.0,0.0,73.58,-72.58,0.0
vgg16,cifar100,Taylor,0.7,3,"[42, 123, 456]",61.82,0.05,73.58,-11.76,0.25
vgg16,cifar100,Taylor,0.9,3,"[42, 123, 456]",42.17,0.57,73.58,-31.41,0.25
