architecture,dataset,method,ratio,n,seeds,mean_final_acc,std_final_acc,mean_baseline_acc,mean_delta_vs_baseline,mean_score_time_s
resnet56,cifar100,CHIP,0.7,5,"[42, 123, 456, 789, 1024]",67.248,0.2078,72.56,-5.312,11.8022
resnet56,cifar100,CHIP,0.9,5,"[42, 123, 456, 789, 1024]",56.972,0.089,72.56,-15.588,13.2537
resnet56,cifar100,GRA-CHIP-v3,0.7,5,"[42, 123, 456, 789, 1024]",67.76,0.171,72.56,-4.8,12.5204
resnet56,cifar100,GRA-CHIP-v3,0.9,5,"[42, 123, 456, 789, 1024]",57.51,0.1576,72.56,-15.05,13.2312
resnet56,cifar100,L1,0.7,5,"[42, 123, 456, 789, 1024]",67.934,0.1481,72.56,-4.626,0.0148
resnet56,cifar100,L1,0.9,5,"[42, 123, 456, 789, 1024]",57.474,0.2961,72.56,-15.086,0.0079
resnet56,cifar100,Taylor,0.7,5,"[42, 123, 456, 789, 1024]",67.284,0.2402,72.56,-5.276,0.5899
resnet56,cifar100,Taylor,0.9,5,"[42, 123, 456, 789, 1024]",56.008,0.3746,72.56,-16.552,0.442
vgg16,cifar100,CHIP,0.7,5,"[42, 123, 456, 789, 1024]",64.43,0.1847,73.58,-9.15,43.1359
vgg16,cifar100,CHIP,0.9,5,"[42, 123, 456, 789, 1024]",42.694,0.9614,73.58,-30.886,49.4604
vgg16,cifar100,GRA-CHIP-v3,0.7,5,"[42, 123, 456, 789, 1024]",64.372,0.3503,73.58,-9.208,50.9015
vgg16,cifar100,GRA-CHIP-v3,0.9,5,"[42, 123, 456, 789, 1024]",42.842,0.3971,73.58,-30.738,53.7812
vgg16,cifar100,L1,0.7,5,"[42, 123, 456, 789, 1024]",62.814,0.7029,73.58,-10.766,0.0034
vgg16,cifar100,L1,0.9,5,"[42, 123, 456, 789, 1024]",17.256,22.293,73.58,-56.324,0.0035
vgg16,cifar100,Taylor,0.7,5,"[42, 123, 456, 789, 1024]",61.51,0.4849,73.58,-12.07,0.2444
vgg16,cifar100,Taylor,0.9,5,"[42, 123, 456, 789, 1024]",42.278,0.52,73.58,-31.302,0.2458
