architecture,dataset,method,ratio,n,seeds,mean_final_acc,std_final_acc,mean_baseline_acc,mean_delta_vs_baseline,mean_compression_ratio,mean_param_reduction_pct,mean_score_time_s
resnet110,cifar100,GRA-CNN,0.7,5,"[42, 123, 456, 789, 1024]",67.868,0.1141,73.27,-5.402,3.2664,69.3853,3818.483
resnet110,cifar100,CHIP,0.7,5,"[42, 123, 456, 789, 1024]",68.484,0.1804,73.27,-4.786,3.2664,69.3853,8089.5149
resnet110,cifar100,L1,0.7,5,"[42, 123, 456, 789, 1024]",68.226,0.1854,73.27,-5.044,3.2664,69.3853,0.0137
resnet110,cifar100,Taylor,0.7,5,"[42, 123, 456, 789, 1024]",67.538,0.1564,73.27,-5.732,3.2664,69.3853,10.7108
resnet110,cifar100,GRA-CNN,0.9,5,"[42, 123, 456, 789, 1024]",57.422,0.2197,73.27,-15.848,9.763,89.7572,56.8311
resnet110,cifar100,CHIP,0.9,5,"[42, 123, 456, 789, 1024]",57.284,0.1378,73.27,-15.986,9.763,89.7572,31.6746
resnet110,cifar100,L1,0.9,5,"[42, 123, 456, 789, 1024]",57.212,0.2335,73.27,-16.058,9.763,89.7572,0.0103
resnet110,cifar100,Taylor,0.9,5,"[42, 123, 456, 789, 1024]",55.244,0.2322,73.27,-18.026,9.763,89.7572,10.2266
resnet56,cifar100,GRA-CNN,0.6,5,"[42, 123, 456, 789, 1024]",67.47,0.0784,72.56,-5.09,2.4224,58.718,57.757
resnet56,cifar100,CHIP,0.6,5,"[42, 123, 456, 789, 1024]",67.362,0.2058,72.56,-5.198,2.4224,58.718,37.2628
resnet56,cifar100,L1,0.6,5,"[42, 123, 456, 789, 1024]",67.726,0.1376,72.56,-4.834,2.4224,58.718,0.0269
resnet56,cifar100,Taylor,0.6,5,"[42, 123, 456, 789, 1024]",67.36,0.1453,72.56,-5.2,2.4224,58.718,1.5513
resnet56,cifar100,FPGM,0.6,5,"[42, 123, 456, 789, 1024]",68.022,0.096,72.56,-4.538,2.4224,58.718,0.1173
resnet56,cifar100,HRank,0.6,5,"[42, 123, 456, 789, 1024]",66.746,0.094,72.56,-5.814,2.4224,58.718,162.1339
resnet56,cifar100,GRA-CNN,0.7,5,"[42, 123, 456, 789, 1024]",67.76,0.171,72.56,-4.8,3.2243,68.9859,12.5204
resnet56,cifar100,CHIP,0.7,5,"[42, 123, 456, 789, 1024]",67.248,0.2078,72.56,-5.312,3.2243,68.9859,11.8022
