architecture,dataset,ratio,method,n,mean_final_acc,std_final_acc,seeds
resnet56,cifar100,0.7,Taylor,3,67.3,0.2164871050817313,"42,123,456"
resnet56,cifar100,0.7,CHIP,3,67.37666666666667,0.12391753530294573,"42,123,456"
resnet56,cifar100,0.7,GRA-CHIP-v2,3,65.82,2.955988272416969,"42,123,456"
resnet56,cifar100,0.7,GRA-CHIP-v3,3,67.85333333333334,0.10274023338281658,"42,123,456"
resnet56,cifar100,0.7,GRA-CHIP-v3-noCA,1,67.36,0.0,42
resnet56,cifar100,0.7,GRA-CHIP-v3-noBoundary,1,67.6,0.0,42
resnet56,cifar100,0.7,GRA-CHIP-v3-noGate,1,67.99,0.0,42
vgg16,cifar100,0.7,Taylor,3,61.81999999999999,0.053541261347364213,"42,123,456"
vgg16,cifar100,0.7,CHIP,3,64.34333333333333,0.004714045207906029,"42,123,456"
vgg16,cifar100,0.7,GRA-CHIP-v2,3,63.89666666666667,0.10498677165349188,"42,123,456"
vgg16,cifar100,0.7,GRA-CHIP-v3,3,64.14999999999999,0.18184242262647732,"42,123,456"
vgg16,cifar100,0.7,GRA-CHIP-v3-noCA,1,63.94,0.0,42
vgg16,cifar100,0.7,GRA-CHIP-v3-noBoundary,1,64.29,0.0,42
vgg16,cifar100,0.7,GRA-CHIP-v3-noGate,1,63.82,0.0,42
