architecture,dataset,ratio,method,n,mean_final_acc,std_final_acc,seeds
resnet56,cifar100,0.7,CHIP,3,67.37666666666667,0.12391753530294573,"42,123,456"
resnet56,cifar100,0.7,GRA-CHIP-v3,3,67.85333333333334,0.10274023338281658,"42,123,456"
resnet56,cifar100,0.7,GRA-CHIP-v3.2,3,67.6,0.05715476066494105,"42,123,456"
resnet56,cifar100,0.9,CHIP,3,56.98666666666666,0.06798692684790235,"42,123,456"
resnet56,cifar100,0.9,GRA-CHIP-v3,3,57.61333333333334,0.07930251502246756,"42,123,456"
resnet56,cifar100,0.9,GRA-CHIP-v3.2,3,57.5,0.05887840577551933,"42,123,456"
vgg16,cifar100,0.7,CHIP,3,64.34333333333333,0.004714045207906029,"42,123,456"
vgg16,cifar100,0.7,GRA-CHIP-v3,3,64.14999999999999,0.18184242262647732,"42,123,456"
vgg16,cifar100,0.7,GRA-CHIP-v3.2,3,64.16333333333334,0.28639522032014236,"42,123,456"
vgg16,cifar100,0.9,CHIP,3,42.81666666666666,1.0923166004211198,"42,123,456"
vgg16,cifar100,0.9,GRA-CHIP-v3,3,42.77666666666667,0.4392670663224789,"42,123,456"
vgg16,cifar100,0.9,GRA-CHIP-v3.2,3,42.72333333333333,0.5073022329495076,"42,123,456"
